state,class
Apache,1
Cochise,0
Coconino,0
Gila,0
Graham,0
Greenlee,0
La Paz,0
Maricopa,0
Mohave,0
Navajo,0
Out of AZ,0
Pima,0
Pinal,0
Santa Cruz,0
Unassigned,0
Yavapai,0
Yuma,0
