state,class
Alabama,8
Arkansas,8
Florida,8
Tennessee,8
Alaska,5
Colorado,5
Montana,5
North Dakota,5
West Virginia,5
Arizona,4
Iowa,4
Maine,4
Nebraska,4
New Mexico,4
Ohio,4
South Dakota,4
California,3
Connecticut,3
Nevada,3
Oklahoma,3
Rhode Island,3
Delaware,0
Illinois,0
Indiana,0
Massachusetts,0
Michigan,0
New Hampshire,0
New Jersey,0
New York,0
Pennsylvania,0
Vermont,0
District of Columbia,6
Hawaii,6
Maryland,6
Missouri,6
Oregon,6
Washington,6
Georgia,2
Idaho,2
Louisiana,2
Mississippi,2
North Carolina,2
South Carolina,2
Texas,2
Virginia,2
Kansas,1
Kentucky,1
Utah,1
Minnesota,9
Wisconsin,9
Wyoming,9
Puerto Rico,7
