state,class
Baker,3
Curry,3
Douglas,3
Jackson,3
Josephine,3
Union,3
Benton,1
Clackamas,1
Clatsop,1
Columbia,1
Coos,1
Lane,1
Lincoln,1
Linn,1
Marion,1
Multnomah,1
Polk,1
Wasco,1
Washington,1
Yamhill,1
Crook,4
Umatilla,4
Wallowa,4
Deschutes,7
Gilliam,7
Hood River,7
Tillamook,7
Grant,5
Harney,8
Wheeler,8
Jefferson,9
Klamath,9
Lake,9
Malheur,6
Morrow,6
Sherman,0
Unassigned,2
