DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","","Albania",2877800,190815,0,0.00,322,786.59,343,462.29,384,1084.13,520,3.12,597,866.70,658,595.88
Confirmed,"","","Andorra",77265,15744,0,0.00,65,29.05,162,0.00,277,100.21,513,4.97,546,31.08,658,26.81
Confirmed,"","","Austria",9006400,911175,0,0.00,295,7069.23,380,1347.71,430,3222.20,525,77.99,658,8967.39,658,8967.39
Confirmed,"","","Belarus",9449321,619708,0,0.00,114,946.04,203,97.54,328,1898.60,517,668.12,639,2031.71,658,1944.15
Confirmed,"","","Bosnia and Herzegovina",3280815,261799,0,0.00,288,1568.89,377,274.52,432,1589.85,529,8.32,658,923.95,658,923.95
Confirmed,"","","Bulgaria",6948445,646856,0,0.00,300,3323.18,362,439.98,427,3624.14,534,60.46,644,4656.72,658,4011.61
Confirmed,"","","Croatia",4105267,514850,0,0.00,322,3516.72,390,319.38,450,2184.12,518,72.31,658,5013.22,658,5013.22
Confirmed,"","","Cyprus",1207361,126497,0,0.00,346,591.32,390,108.71,456,829.35,507,57.41,542,988.93,658,244.85
Confirmed,"","","Czech Republic",10708982,1843019,0,0.00,277,12195.47,317,3649.04,406,12093.42,517,124.62,658,8628.14,658,8628.14
Confirmed,"","","Denmark",5946703,410434,0,0.00,330,3387.78,427,431.17,478,1036.30,518,204.27,658,2626.63,658,2626.63
Confirmed,"","","Estonia",1326539,208326,0,0.00,71,54.51,157,0.88,419,1455.65,520,25.80,647,1727.82,658,1230.59
Confirmed,"","","Finland",5540718,166256,0,0.03,420,693.29,510,74.07,567,763.40,606,399.71,658,853.35,658,853.35
Confirmed,"","","France",68450408,7062794,0,0.57,287,47993.92,314,10849.71,432,37602.93,484,-28422.99,568,24517.33,658,9025.18
Confirmed,"","","Greece",10423056,808297,0,0.00,297,2566.56,363,491.76,437,2988.59,517,395.17,658,6934.45,658,6934.45
Confirmed,"","","Vatican City",809,27,0,0.00,64,0.50,83,0.05,99,0.24,253,0.00,266,1.52,658,0.00
Confirmed,"","","Iceland",341250,14935,0,0.00,66,68.86,181,-7.52,262,81.65,399,0.82,658,153.88,658,153.88
Confirmed,"","","Ireland",4937796,480846,0,0.00,82,811.20,152,8.77,351,5655.72,510,315.45,658,3693.37,658,3693.37
Confirmed,"","","Kosovo",1810366,160905,0,0.00,302,748.24,344,201.19,432,905.93,511,9.25,579,1916.69,658,13.53
Confirmed,"","","Latvia",1886202,235387,0,0.00,352,948.44,438,437.51,473,633.32,537,37.36,641,2420.97,658,1449.43
