DataType,Admin2,Admin1,Admin0,Population,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"Baker","Oregon","US",16123,0,0.00,343,6.93,372,1.20,449,7.10,485,0.70,516,3.31,543,0.55,601,21.37,658,4.13
Confirmed,"Benton","Oregon","US",93053,0,0.00,326,23.27,339,12.26,354,23.36,407,6.28,468,15.68,525,1.16,630,28.77,658,16.97
Confirmed,"Clackamas","Oregon","US",418187,0,0.00,173,21.78,234,12.95,314,149.90,406,18.24,464,92.69,526,14.07,586,158.84,658,84.25
Confirmed,"Clatsop","Oregon","US",40224,0,0.00,247,11.14,270,0.46,346,7.72,406,0.60,462,4.58,496,0.76,571,27.68,658,6.06
Confirmed,"Columbia","Oregon","US",52354,0,0.00,320,11.80,339,8.82,355,12.15,419,1.64,438,10.39,527,2.15,570,26.67,658,14.42
Confirmed,"Coos","Oregon","US",64486,0,0.00,97,1.93,127,0.03,349,13.36,361,6.90,401,17.36,499,0.72,585,43.64,658,19.48
Confirmed,"Crook","Oregon","US",24403,0,0.00,357,10.39,405,0.77,471,9.83,521,1.28,599,19.64,607,13.08,630,26.49,658,9.54
Confirmed,"Curry","Oregon","US",22924,0,0.00,327,6.19,367,0.58,421,5.08,476,0.78,517,4.38,532,0.27,573,31.07,658,2.66
Confirmed,"Deschutes","Oregon","US",197692,0,0.00,185,14.15,226,1.86,315,65.61,419,9.34,462,78.20,527,7.34,585,155.98,658,99.70
Confirmed,"Douglas","Oregon","US",110980,0,0.00,302,25.16,339,8.57,388,26.03,454,7.12,488,18.21,528,7.81,577,170.06,658,36.28
Confirmed,"Gilliam","Oregon","US",1911,0,0.00,351,0.84,433,0.00,499,0.85,537,0.01,576,1.95,622,0.28,643,1.15,658,0.41
Confirmed,"Grant","Oregon","US",7199,0,0.00,304,6.69,377,0.03,448,9.59,525,0.05,610,14.14,644,1.61,658,7.52,658,7.52
Confirmed,"Harney","Oregon","US",7393,0,0.00,300,3.13,326,0.74,384,4.24,413,0.21,495,2.87,531,0.33,610,15.20,658,1.69
Confirmed,"Hood River","Oregon","US",23382,0,0.00,137,4.89,157,0.10,201,3.87,232,0.12,330,17.45,515,0.24,622,13.37,658,6.79
Confirmed,"Jackson","Oregon","US",220943,0,0.00,318,76.68,337,48.19,351,65.88,422,24.78,456,46.68,526,9.09,581,230.46,658,48.65
Confirmed,"Jefferson","Oregon","US",24658,0,0.00,185,8.56,222,1.89,322,25.32,429,1.14,487,6.87,531,1.54,612,22.19,658,15.27
Confirmed,"Josephine","Oregon","US",87487,0,0.00,67,1.04,127,-0.22,355,34.58,405,9.80,422,18.33,500,3.91,574,123.76,658,23.02
Confirmed,"Klamath","Oregon","US",68238,0,0.00,151,4.77,226,0.37,318,40.38,405,4.33,458,44.03,518,2.16,621,54.82,658,33.82
Confirmed,"Lake","Oregon","US",7869,0,0.00,158,1.28,218,-0.23,305,4.85,337,1.02,383,6.52,494,0.18,601,11.55,658,4.51
Confirmed,"Lane","Oregon","US",382067,0,0.00,322,93.53,339,63.93,356,83.79,417,11.87,454,61.51,531,11.18,574,219.13,658,64.41
Confirmed,"Lincoln","Oregon","US",49961,0,0.00,139,18.02,237,0.08,319,10.32,393,0.97,444,5.70,490,0.64,585,36.12,658,13.44
Confirmed,"Linn","Oregon","US",129749,0,0.00,62,3.18,142,0.21,317,48.00,407,5.48,466,35.78,506,10.92,587,111.30,658,45.77
Confirmed,"Malheur","Oregon","US",30571,0,0.00,172,25.18,183,12.12,236,18.88,271,9.62,316,18.54,529,0.05,601,38.70,658,7.42
Confirmed,"Marion","Oregon","US",347818,0,0.00,111,21.71,125,8.12,320,161.12,432,27.72,458,85.29,526,14.86,585,206.17,658,86.98
Confirmed,"Morrow","Oregon","US",11603,0,0.00,191,8.76,274,0.86,319,6.52,337,3.27,354,7.25,422,0.20,567,12.30,658,4.46
Confirmed,"Multnomah","Oregon","US",812855,0,0.00,177,79.81,234,39.67,313,358.83,406,27.79,458,150.37,527,17.59,587,210.67,658,133.47
Confirmed,"Polk","Oregon","US",86085,0,0.00,312,28.08,336,19.62,353,29.80,421,3.95,453,13.72,501,4.54,583,49.67,658,24.06
Confirmed,"Sherman","Oregon","US",1780,0,0.00,193,0.74,269,0.00,351,1.78,479,0.00,589,1.42,629,0.43,647,1.77,658,0.46
Confirmed,"Tillamook","Oregon","US",27036,0,0.00,331,8.07,379,0.90,434,4.91,501,-0.41,584,28.04,622,3.36,658,9.49,658,9.49
Confirmed,"Umatilla","Oregon","US",77950,0,0.00,188,51.34,242,8.59,350,70.51,436,4.00,568,70.68,591,53.42,614,72.74,658,25.16
Confirmed,"Unassigned","Oregon","US",-1,0,0.00,79,0.02,87,-0.02,658,0.00,658,0.00
Confirmed,"Union","Oregon","US",26835,0,0.00,146,27.36,186,0.31,305,14.26,342,2.67,354,9.32,484,0.80,575,27.65,658,3.40
Confirmed,"Wallowa","Oregon","US",7207,0,0.00,382,2.53,416,0.05,464,1.83,514,0.05,587,8.64,601,3.63,622,7.74,658,1.69
Confirmed,"Wasco","Oregon","US",26681,0,0.00,164,3.68,217,0.14,319,13.31,405,0.24,455,5.32,507,0.51,581,21.21,658,9.48
Confirmed,"Washington","Oregon","US",601591,0,0.00,176,47.54,231,22.22,316,230.43,421,31.59,458,94.17,529,11.26,599,168.61,658,95.55
Confirmed,"Wheeler","Oregon","US",1332,0,0.00,319,0.57,407,0.00,474,0.57,542,0.00,557,1.35,589,0.11,627,2.94,658,0.12
Confirmed,"Yamhill","Oregon","US",107100,0,0.00,194,13.35,245,3.76,351,35.48,420,3.71,470,15.38,519,3.55,602,59.36,658,39.14
