DataType,Admin2,Admin1,Admin0,Population,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","","Albania",2877800,0,0.00,322,786.59,343,462.29,384,1084.13,520,3.12,597,866.70,629,433.71,658,595.88,658,595.88
Confirmed,"","","Andorra",77265,0,0.00,65,29.05,162,0.00,277,100.21,513,4.97,546,31.08,594,4.18,658,26.81,658,26.81
Confirmed,"","","Austria",9006400,0,0.00,64,695.32,131,28.08,295,7069.23,380,1347.71,430,3222.20,525,77.99,658,8967.39,658,8967.39
Confirmed,"","","Belarus",9449321,0,0.00,114,946.04,203,97.54,328,1898.60,414,1018.51,484,1326.21,517,668.12,639,2031.71,658,1944.15
Confirmed,"","","Bosnia and Herzegovina",3280815,0,0.00,288,1568.89,377,274.52,432,1589.85,529,8.32,603,742.46,632,557.06,658,923.95,658,923.95
Confirmed,"","","Bulgaria",6948445,0,0.00,182,237.04,229,121.72,300,3323.18,362,439.98,427,3624.14,534,60.46,644,4656.72,658,4011.61
Confirmed,"","","Croatia",4105267,0,0.00,67,68.65,134,0.23,322,3516.72,390,319.38,450,2184.12,518,72.31,658,5013.22,658,5013.22
Confirmed,"","","Cyprus",1207361,0,0.00,346,591.32,390,108.71,456,829.35,507,57.41,542,988.93,618,102.22,658,244.85,658,244.85
Confirmed,"","","Czech Republic",10708982,0,0.00,277,12195.47,317,3649.04,351,11674.72,370,6787.81,406,12093.42,517,124.62,658,8628.14,658,8628.14
Confirmed,"","","Denmark",5897839,0,0.00,330,3387.78,427,431.17,478,1036.30,518,204.27,569,995.16,606,345.73,658,2626.63,658,2626.63
Confirmed,"","","Estonia",1326539,0,0.00,71,54.51,157,0.88,352,586.78,368,502.34,419,1455.65,520,25.80,647,1727.82,658,1230.59
Confirmed,"","","Finland",5540718,0,0.03,76,139.81,173,4.77,420,693.29,510,74.07,567,763.40,606,399.71,658,853.35,658,853.35
Confirmed,"","","France",68151726,0,0.57,82,6935.63,119,399.14,287,47993.92,314,10849.71,432,37602.93,484,-28422.99,568,24517.33,658,9025.18
Confirmed,"","","Greece",10423056,0,0.00,297,2566.56,363,491.76,437,2988.59,517,395.17,578,3220.63,613,2151.91,658,6934.45,658,6934.45
Confirmed,"","","Vatican City",809,0,0.00,45,0.11,52,0.01,64,0.50,83,0.05,99,0.24,253,0.00,266,1.52,658,0.00
Confirmed,"","","Iceland",341250,0,0.00,66,68.86,181,-7.52,262,81.65,399,0.82,557,114.12,603,28.02,658,153.88,658,153.88
Confirmed,"","","Ireland",4937796,0,0.00,82,811.20,152,8.77,270,1090.50,312,265.22,351,5655.72,510,315.45,658,3693.37,658,3693.37
Confirmed,"","","Kosovo",1810366,0,0.00,190,231.49,252,-221.19,302,748.24,344,201.19,432,905.93,511,9.25,579,1916.69,658,13.53
Confirmed,"","","Latvia",1886202,0,0.00,67,28.72,154,0.88,352,948.44,438,437.51,473,633.32,537,37.36,641,2420.97,658,1449.43
Confirmed,"","","Liechtenstein",38137,0,0.00,335,37.95,391,1.46,450,10.03,512,0.52,572,10.16,620,1.10,658,19.50,658,19.50
Confirmed,"","","Lithuania",2722291,0,0.00,70,45.82,157,2.46,333,2880.96,412,453.95,465,1179.67,526,32.14,644,2876.36,658,2559.33
Confirmed,"","","Luxembourg",625976,0,0.00,64,155.44,219,-120.56,285,654.60,362,118.95,431,227.35,515,12.83,658,231.30,658,231.30
Confirmed,"","","Moldova",4033963,0,0.00,148,344.97,167,219.74,320,1446.31,362,466.55,426,1587.36,501,45.32,637,1604.99,658,1099.31
Confirmed,"","","Monaco",39244,0,0.00,65,3.75,141,0.00,289,15.08,310,3.93,378,23.27,492,0.55,553,15.32,658,4.13
Confirmed,"","","Montenegro",628062,0,0.00,295,595.93,333,364.27,411,562.55,517,16.61,582,615.21,629,359.13,655,607.20,658,602.58
Confirmed,"","","Norway",5421242,0,0.00,65,254.61,174,7.44,422,931.34,538,167.97,589,1418.15,628,414.90,658,1566.71,658,1566.71
Confirmed,"","","Poland",37846605,0,0.00,292,24416.76,340,8083.13,351,9020.14,378,5282.79,431,27648.48,534,80.15,658,13484.65,658,13484.65
Confirmed,"","","Portugal",10196707,0,0.00,71,750.97,114,219.83,299,6101.13,337,3314.71,368,12331.81,471,340.91,544,3241.48,658,1146.66
Confirmed,"","","Romania",19237682,0,0.00,81,352.80,130,163.17,299,8378.57,381,2388.62,429,5609.07,531,43.11,636,14787.15,658,6708.83
Confirmed,"","","San Marino",33938,0,0.00,86,13.22,189,0.00,348,28.36,364,14.60,429,38.12,502,0.01,581,7.53,658,5.81
Confirmed,"","","Serbia",8737369,0,0.00,83,331.88,129,40.91,315,7218.66,365,1608.94,421,4907.74,522,79.42,616,6951.61,658,4843.61
Confirmed,"","","Slovakia",5459643,0,0.00,282,2390.29,305,1347.29,346,2824.28,367,1812.97,402,2279.81,528,23.09,658,5434.33,658,5434.33
Confirmed,"","","Slovenia",2078931,0,0.00,280,1746.75,291,1381.26,351,1842.96,413,716.07,434,1015.47,525,28.93,658,3144.06,658,3144.06
Confirmed,"","","Switzerland",8654617,0,0.00,63,1038.78,133,16.02,286,7984.06,521,116.57,595,2963.88,628,909.48,658,3074.48,658,3074.48
Confirmed,"","","Turkey",84339067,0,0.00,82,4363.22,182,925.90,323,119581.79,367,6330.18,450,58689.51,529,5049.26,628,30142.67,658,27947.61
Confirmed,"","","Italy",60361002,0,0.01,113,25771.05,162,193.57,296,34607.97,377,11934.65,422,22535.71,522,722.64,580,6476.61,658,6190.08
Confirmed,"","","Russia",146644702,0,0.01,131,54211.12,216,4752.11,336,28136.58,471,8148.08,538,24395.14,594,17954.92,651,38950.88,658,38295.56
Confirmed,"","","Sweden",10327585,0,0.01,135,5653.45,219,-207.84,350,6619.71,382,2882.85,446,6100.89,535,232.62,596,1075.65,658,854.59
Confirmed,"","","Germany",83019210,0,0.03,113,20163.43,170,343.96,330,24419.95,389,7326.21,449,20448.64,524,579.02,658,32797.64,658,32797.64
Confirmed,"","","Spain",46937058,0,0.00,113,26460.34,137,308.60,284,20373.95,320,6934.67,367,35669.95,405,-2888.14,546,25630.41,658,2964.02
Confirmed,"","","Belgium",23021020,0,0.00,79,1378.38,149,87.00,295,62944.42,344,1648.82,429,4798.23,514,482.38,658,11844.20,658,11844.20
Confirmed,"","","Netherlands",17747549,0,0.00,177,5870.99,188,269.01,333,11171.26,520,652.68,540,9445.92,614,1744.71,658,11536.95,658,11536.95
Confirmed,"","","Ukraine",45901044,0,0.00,131,3151.11,142,643.98,310,13990.83,381,3925.37,440,15499.94,523,943.33,648,22935.53,658,21458.79
Confirmed,"","","United Kingdom",66961612,0,0.00,141,22197.19,181,675.31,350,57480.91,481,1760.38,542,44303.32,557,26475.51,637,45620.67,658,34084.06
