DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"Apache","Arizona","US",71887,14629,0,0.00,129,43.78,231,3.75,323,83.14,424,6.45,435,43.09,483,0.84,640,69.07,658,29.68
Confirmed,"Cochise","Arizona","US",125922,16651,0,0.00,168,35.42,235,2.52,334,146.55,343,110.15,352,144.55,499,2.52,654,75.94,658,73.45
Confirmed,"Coconino","Arizona","US",143476,24003,0,0.00,71,20.07,80,4.72,162,48.67,213,9.43,354,171.35,488,-1.74,658,79.51,658,79.51
Confirmed,"Gila","Arizona","US",54018,10193,0,0.00,351,55.77,409,3.02,443,32.46,478,-1.59,579,38.53,617,16.67,656,39.60,658,39.06
Confirmed,"Graham","Arizona","US",38837,7937,0,0.00,187,15.17,235,2.06,352,82.29,506,-3.74,588,35.50,616,14.33,638,28.44,658,26.26
Confirmed,"Greenlee","Arizona","US",9498,1241,0,0.00,187,1.64,235,-0.05,315,8.57,509,-0.10,598,8.88,630,4.40,658,13.03,658,13.03
Confirmed,"La Paz","Arizona","US",21107,3259,0,0.00,136,12.98,252,0.86,348,38.31,511,0.02,603,13.43,627,4.33,646,7.45,658,4.37
Confirmed,"Maricopa","Arizona","US",4485414,757552,0,0.00,164,2605.59,247,220.40,352,5937.39,422,168.92,584,2129.15,633,1268.74,654,1822.84,658,1757.31
Confirmed,"Mohave","Arizona","US",212181,34338,0,0.00,173,67.82,260,6.93,346,275.74,479,9.95,585,104.93,633,66.97,658,85.84,658,85.84
Confirmed,"Navajo","Arizona","US",110924,22529,0,0.00,156,66.27,250,4.96,323,122.91,415,-18.12,443,30.58,500,3.05,656,94.33,658,93.84
Confirmed,"Out of AZ","Arizona","US",-1,0,0,0.00,658,0.00,658,0.00
Confirmed,"Pima","Arizona","US",1047279,148962,0,0.00,163,309.59,221,81.01,240,263.77,262,70.64,353,1217.14,502,1.98,658,487.78,658,487.78
Confirmed,"Pinal","Arizona","US",462789,76035,0,0.00,167,170.15,237,25.30,352,588.08,512,25.49,584,232.96,625,154.60,658,225.54,658,225.54
Confirmed,"Santa Cruz","Arizona","US",46497,9307,0,0.00,146,62.11,217,0.30,321,73.65,508,1.15,588,10.99,627,6.73,656,22.75,658,22.20
Confirmed,"Unassigned","Arizona","US",-1,0,0,0.00,237,0.30,246,-0.21,346,1.19,353,-1.13,377,0.57,498,-0.32,567,0.06,658,0.00
Confirmed,"Yavapai","Arizona","US",235099,29646,0,0.00,159,35.03,237,7.67,352,211.96,387,21.45,408,110.30,430,4.36,658,114.86,658,114.86
Confirmed,"Yuma","Arizona","US",213787,41995,0,0.00,152,204.31,230,11.80,324,393.47,341,265.48,351,338.03,512,1.69,584,85.54,658,31.70
