DataType,Admin2,Admin1,Admin0,Population,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","","Algeria",43851043,0,0.00,117,184.71,138,108.86,185,609.13,258,142.04,307,1047.75,428,102.30,553,1450.30,658,108.00
Confirmed,"","","Angola",32866267,0,0.00,278,246.46,345,63.15,359,90.86,392,27.53,488,273.81,529,97.85,618,510.88,658,40.97
Confirmed,"","","Benin",12123197,0,0.00,107,25.77,118,-19.40,153,53.33,253,4.49,407,89.85,538,2.93,589,483.58,658,7.42
Confirmed,"","","Botswana",2351625,0,0.00,268,248.55,329,94.28,405,428.75,473,173.14,562,2170.37,625,197.76,654,774.07,658,521.72
Confirmed,"","","Burkina Faso",20903278,0,0.00,77,20.14,143,0.86,236,35.46,280,8.31,334,171.07,508,0.96,658,40.32,658,40.32
Confirmed,"","","Burundi",11890781,0,0.00,174,12.84,239,0.50,360,35.16,382,13.62,566,207.86,591,93.35,611,291.51,658,15.37
Confirmed,"","","Cabo Verde",555988,0,0.00,264,101.40,339,20.94,360,85.27,391,43.26,462,288.12,558,32.99,593,99.28,658,7.10
Confirmed,"","","Cameroon",26545864,0,0.00,149,331.99,253,24.36,434,1384.94,455,350.03,463,775.46,558,2.80,617,834.49,658,329.38
Confirmed,"","","Central African Republic",4829764,0,0.00,136,93.48,142,78.52,153,94.95,266,0.38,454,60.67,537,0.10,566,456.29,658,0.44
Confirmed,"","","Chad",16425859,0,0.00,107,26.58,198,1.20,264,11.56,307,5.71,355,52.12,639,0.25,649,4.26,658,0.29
Confirmed,"","","Comoros",869595,0,0.00,149,8.83,264,0.87,363,90.46,496,0.91,527,5.49,562,0.53,658,10.15,658,10.15
Confirmed,"","","Congo (Brazzaville)",5518092,0,0.00,177,89.35,259,4.72,337,72.16,373,10.93,460,70.15,590,6.67,639,129.80,658,52.26
Confirmed,"","","Congo (Kinshasa)",89561404,0,0.00,152,149.87,245,16.18,356,214.78,442,38.16,456,81.37,478,38.09,513,341.98,658,13.37
Confirmed,"","","Cote d'Ivoire",26378274,0,0.00,148,307.93,291,14.78,368,245.11,397,110.78,426,410.41,517,22.42,586,265.70,658,15.26
Confirmed,"","","Djibouti",988001,0,0.00,85,71.94,102,9.76,130,154.88,375,1.66,438,176.84,525,0.78,616,79.05,658,0.71
Confirmed,"","","Equatorial Guinea",1402985,0,0.00,161,125.73,180,0.00,191,196.00,269,0.96,484,85.72,552,4.12,606,104.64,658,10.66
Confirmed,"","","Eritrea",3546426,0,0.00,145,10.44,201,0.44,341,45.49,465,8.28,513,66.98,589,1.17,658,17.31,658,17.31
Confirmed,"","","Eswatini",1160164,0,0.00,203,83.96,283,10.04,362,225.59,435,4.35,446,117.46,466,2.44,564,715.45,658,2.42
Confirmed,"","","Ethiopia",114963583,0,0.00,214,1518.19,291,423.83,313,542.18,363,376.85,436,2085.61,528,78.06,583,1372.95,658,235.95
Confirmed,"","","Gabon",2225728,0,0.00,146,122.73,171,43.67,185,95.10,270,5.07,447,158.68,551,8.72,619,218.48,658,105.73
Confirmed,"","","Gambia",2416664,0,0.00,208,106.78,278,1.54,391,26.21,407,11.29,418,34.54,500,1.29,559,106.08,658,1.48
Confirmed,"","","Ghana",31072945,0,0.00,108,287.42,118,135.18,185,719.30,261,34.75,374,764.52,490,38.37,577,526.91,658,53.42
Confirmed,"","","Guinea",13132791,0,0.00,97,81.70,160,40.62,207,88.43,340,15.95,415,146.05,509,12.70,565,161.03,658,5.32
Confirmed,"","","Guinea-Bissau",1967998,0,0.00,107,52.84,334,0.12,393,26.81,481,0.65,576,54.40,641,0.31,658,11.42,658,11.42
