DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","Adygea Republic","Russia",453376,22283,0,0.00,160,41.49,174,18.27,188,33.30,210,17.77,326,101.11,495,7.66,566,58.29,618,49.80,668,93.29,668,93.29
Confirmed,"","Altai Krai","Russia",2350080,96366,0,0.00,174,222.64,231,62.12,297,235.37,499,57.44,561,276.05,601,235.38,668,528.84,668,528.84,,,,
Confirmed,"","Altai Republic","Russia",218063,23779,0,0.00,163,34.32,200,14.59,277,172.23,349,44.30,360,62.86,470,3.13,542,55.16,597,28.51,647,55.72,668,48.57
Confirmed,"","Amur Oblast","Russia",798424,43228,0,0.00,151,47.45,164,31.03,174,40.07,204,17.09,294,165.08,458,11.76,564,140.39,602,117.42,668,229.88,668,229.88
Confirmed,"","Arkhangelsk Oblast","Russia",1155027,107088,0,0.00,138,121.97,199,65.23,288,363.09,300,342.33,326,399.80,474,52.81,581,265.20,595,252.62,654,462.61,668,443.66
Confirmed,"","Astrakhan Oblast","Russia",1017514,69326,0,0.00,139,65.38,186,33.24,335,180.34,352,170.65,364,183.42,503,40.54,554,288.81,616,169.08,668,260.79,668,260.79
Confirmed,"","Bashkortostan Republic","Russia",4063292,95681,0,0.00,137,89.10,164,46.65,176,51.65,232,30.51,346,167.85,354,166.03,368,167.61,488,89.33,668,678.72,668,678.72
Confirmed,"","Belgorod Oblast","Russia",1549875,66706,0,0.00,147,75.97,188,42.51,204,49.34,221,41.62,347,187.32,501,60.63,565,150.16,584,142.98,652,348.32,668,347.34
Confirmed,"","Bryansk Oblast","Russia",1210981,82084,0,0.00,139,92.11,210,24.60,290,163.55,307,135.11,338,201.64,477,63.18,533,326.77,598,152.50,655,511.82,668,470.45
Confirmed,"","Buryatia Republic","Russia",984510,65462,0,0.00,141,57.21,200,31.09,306,271.50,353,147.11,361,151.57,470,25.68,528,317.74,600,78.72,668,238.71,668,238.71
Confirmed,"","Chechen Republic","Russia",1436980,26232,0,0.00,141,18.58,170,9.29,188,12.02,246,5.11,322,142.51,480,9.22,575,166.00,603,61.50,649,117.34,668,111.93
Confirmed,"","Chelyabinsk Oblast","Russia",3493036,116962,0,0.00,152,179.04,227,63.05,336,310.71,356,294.52,362,296.76,501,85.53,576,381.03,604,364.91,668,595.63,668,595.63
Confirmed,"","Chukotka Autonomous Okrug","Russia",49348,2651,0,0.00,137,3.50,224,0.37,306,7.70,320,3.49,330,6.28,470,0.12,546,14.01,589,8.41,668,20.79,668,20.79
Confirmed,"","Chuvashia Republic","Russia",1231117,38250,0,0.00,139,80.00,237,25.93,328,129.04,353,94.87,363,106.25,418,41.87,460,53.51,503,46.71,655,178.94,668,172.21
Confirmed,"","Dagestan Republic","Russia",3063885,54153,0,0.00,137,111.08,186,40.70,355,158.34,419,37.81,473,45.82,485,35.75,551,201.84,619,116.25,668,181.35,668,181.35
Confirmed,"","Ingushetia Republic","Russia",488043,23117,0,0.00,142,35.41,178,19.41,187,22.07,194,19.59,338,88.28,443,9.48,577,70.91,602,59.83,668,84.80,668,84.80
Confirmed,"","Irkutsk Oblast","Russia",2404195,130227,0,0.00,163,239.53,231,72.83,315,274.63,363,261.00,373,262.27,499,110.92,559,398.36,606,372.35,668,586.70,668,586.70
Confirmed,"","Ivanovo Oblast","Russia",1014646,57665,0,0.00,138,106.73,194,24.88,344,187.17,415,62.13,430,65.79,503,57.97,573,126.27,599,114.83,661,230.60,668,227.25
Confirmed,"","Jewish Autonomous Okrug","Russia",162013,9810,0,0.00,138,4.88,161,2.97,171,5.21,211,2.21,286,44.39,464,0.22,576,40.63,610,33.20,661,46.43,668,45.13
Confirmed,"","Kabardino-Balkarian Republic","Russia",865828,34773,0,0.00,144,78.42,198,15.00,274,91.79,291,83.90,340,102.24,504,13.20,569,88.60,606,67.49,659,135.49,668,129.64
Confirmed,"","Kaliningrad Oblast","Russia",994599,70514,0,0.00,140,39.55,174,12.43,344,215.08,434,46.51,482,61.29,493,50.90,544,231.38,572,174.00,649,391.90,668,385.31
Confirmed,"","Kalmykia Republic","Russia",275413,32065,0,0.00,163,56.69,183,20.93,226,81.87,240,65.39,280,95.62,303,75.55,337,105.27,461,10.95,553,116.69,668,35.67
Confirmed,"","Kaluga Oblast","Russia",1012056,52923,0,0.00,140,81.33,189,24.45,215,28.95,226,28.24,338,170.36,497,49.61,554,136.50,601,100.39,664,215.06,668,214.19
Confirmed,"","Kamchatka Krai","Russia",315557,21016,0,0.00,155,48.52,203,15.09,211,18.81,220,13.02,325,81.29,486,7.03,561,54.61,612,40.17,662,47.04,668,46.73
Confirmed,"","Karachay-Cherkess Republic","Russia",466305,28063,0,0.00,147,92.16,196,10.82,322,96.27,419,14.71,430,17.97,447,12.01,557,58.03,602,45.79,665,88.70,668,88.52
Confirmed,"","Karelia Republic","Russia",622484,79827,0,0.00,160,37.03,205,21.37,318,451.01,471,41.07,532,199.06,596,137.11,640,339.44,654,289.78,664,317.75,668,310.15
Confirmed,"","Kemerovo Oblast","Russia",2694877,69258,0,0.00,204,96.34,228,87.90,289,194.10,426,46.75,457,67.55,494,55.46,554,202.91,612,163.94,668,380.75,668,380.75
Confirmed,"","Khabarovsk Krai","Russia",1328302,101602,0,0.00,184,121.90,228,60.64,335,341.85,414,54.07,426,57.29,469,21.59,542,330.70,616,282.86,668,551.36,668,551.36
Confirmed,"","Khakassia Republic","Russia",537513,46867,0,0.00,172,40.81,205,17.88,314,181.22,352,94.22,360,109.17,440,13.26,551,178.56,599,107.89,653,225.87,668,193.52
