DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","","Algeria",43851042,208685,0,0.00,117,184.71,138,108.86,185,609.13,258,142.04,307,1047.75,428,102.30,553,1450.30,639,80.12,668,143.13,668,143.13
Confirmed,"","","Angola",32866268,64997,0,0.00,278,246.46,345,63.15,359,90.86,392,27.53,488,273.81,529,97.85,551,146.77,562,120.21,618,510.88,668,17.15
Confirmed,"","","Benin",12123198,24844,0,0.00,107,25.77,118,-19.40,153,53.33,253,4.49,407,89.85,538,2.93,589,483.58,606,135.72,613,220.79,668,2.37
Confirmed,"","","Botswana",2351625,194390,0,0.00,268,248.55,329,94.28,405,428.75,473,173.14,562,2170.37,595,652.55,603,1060.22,625,197.76,653,727.61,668,89.27
Confirmed,"","","Burkina Faso",20903278,15506,0,0.00,77,20.14,143,0.86,236,35.46,280,8.31,334,171.07,344,116.63,355,151.64,508,0.96,651,36.64,668,25.78
Confirmed,"","","Burundi",11890781,20323,0,0.00,174,12.84,239,0.50,360,35.16,382,13.62,449,49.63,469,20.40,566,207.86,591,93.35,611,291.51,668,13.36
Confirmed,"","","Cabo Verde",555988,38319,0,0.00,177,50.66,187,34.43,264,101.40,339,20.94,360,85.27,391,43.26,462,288.12,558,32.99,593,99.28,668,4.76
Confirmed,"","","Cameroon",26545864,106220,0,0.00,149,331.99,253,24.36,303,123.13,350,38.51,434,1384.94,455,350.03,463,775.46,558,2.80,617,834.49,668,8.32
Confirmed,"","","Central African Republic",4829764,11668,0,0.00,136,93.48,142,78.52,153,94.95,266,0.38,454,60.67,537,0.10,566,456.29,643,4.12,660,9.80,668,1.25
Confirmed,"","","Chad",16425859,5107,0,0.00,107,26.58,198,1.20,264,11.56,307,5.71,355,52.12,380,19.44,394,26.33,639,0.25,649,4.25,668,0.00
Confirmed,"","","Comoros",869595,4433,0,0.00,149,8.83,264,0.87,284,3.92,317,0.71,363,90.46,496,0.91,527,5.49,562,0.53,663,10.01,668,9.10
Confirmed,"","","Congo (Brazzaville)",5518092,18654,0,0.00,177,89.35,210,14.99,225,87.08,259,4.72,337,72.16,373,10.93,460,70.15,590,6.67,639,129.80,668,68.88
Confirmed,"","","Congo (Kinshasa)",89561404,57857,0,0.00,152,149.87,245,16.18,356,214.78,442,38.16,456,81.37,478,38.09,513,341.98,537,257.76,548,300.05,668,21.74
Confirmed,"","","Cote d'Ivoire",26378274,61564,0,0.00,148,307.93,206,51.42,227,86.44,291,14.78,368,245.11,397,110.78,426,410.41,517,22.42,586,265.70,668,12.00
Confirmed,"","","Djibouti",988002,13500,0,0.00,85,71.94,102,9.76,130,154.88,225,0.45,272,9.75,375,1.66,438,176.84,525,0.78,616,79.05,668,0.84
Confirmed,"","","Equatorial Guinea",1402985,13529,0,0.00,161,125.73,180,0.00,191,196.00,269,0.96,405,42.02,473,0.27,484,85.72,552,4.12,606,104.64,668,7.65
Confirmed,"","","Eritrea",3546426,7134,0,0.00,145,10.44,201,0.44,341,45.49,366,17.08,391,31.07,465,8.28,513,66.98,589,1.17,668,17.62,668,17.62
