DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","","Jordan",10203140,907227,0,0.00,301,5312.12,367,851.61,422,8186.28,480,595.42,490,962.17,512,454.83,571,920.77,581,822.97,668,3331.21,668,3331.21
Confirmed,"","","Kazakhstan",18776707,1044599,0,0.00,162,3189.08,254,232.53,369,1461.53,407,791.91,456,2830.87,507,1057.08,546,7228.68,551,6098.60,560,8080.32,668,1193.55
Confirmed,"","","Kuwait",4270563,413104,0,0.00,117,920.73,194,542.16,229,752.07,253,520.01,274,768.35,340,233.13,446,1439.22,479,968.72,528,1761.75,668,18.51
Confirmed,"","","Kyrgyzstan",6524190,182721,0,0.00,179,2060.75,235,70.01,278,530.88,409,43.17,470,335.06,482,283.67,528,1355.27,617,69.70,642,104.18,668,69.75
Confirmed,"","","Laos",7275555,59956,0,0.00,65,0.91,264,0.00,306,1.60,398,0.00,463,76.51,503,5.53,579,346.79,591,188.08,668,1191.67,668,1191.67
Confirmed,"","","Maldives",540542,90482,0,0.00,128,51.52,157,17.87,213,137.67,329,18.29,485,1490.47,552,112.14,589,155.12,624,78.10,653,149.18,668,125.82
Confirmed,"","","Mongolia",3278292,376829,0,0.00,114,10.58,250,0.06,304,28.12,325,5.96,456,1156.47,480,540.76,512,2463.76,556,1161.77,591,3421.68,668,691.04
Confirmed,"","","Nepal",29136807,818536,0,0.14,154,505.00,175,122.42,270,3603.86,280,2501.97,287,2879.99,414,77.48,475,8731.60,533,1553.20,564,2545.23,668,288.84
Confirmed,"","","Oman",5106621,304462,0,0.00,174,1511.50,211,157.61,258,695.34,341,99.69,446,1238.40,476,587.83,517,1986.42,544,319.11,551,763.91,668,6.03
Confirmed,"","","Papua New Guinea",8947027,33793,0,0.00,201,14.91,295,0.47,432,272.53,465,75.89,477,251.42,525,5.62,546,30.13,580,1.95,639,394.92,668,201.86
Confirmed,"","","Philippines",109581085,2823306,0,0.01,205,4245.04,227,2902.83,236,3713.89,344,1174.71,445,10378.76,486,5273.97,506,6566.99,538,5082.64,598,20576.06,668,1342.42
Confirmed,"","","Qatar",2881060,241819,0,0.00,128,1829.57,256,205.05,275,243.61,331,148.28,445,953.09,531,118.68,575,234.41,630,73.08,668,145.48,668,145.48
Confirmed,"","","Saudi Arabia",34813867,549409,0,0.00,118,2496.67,128,1912.99,146,4140.01,154,3662.55,161,3821.60,349,110.33,459,1026.85,477,983.22,524,1351.01,668,36.38
Confirmed,"","","Singapore",5850343,248306,0,0.90,91,906.90,166,175.20,187,375.93,301,6.07,372,30.41,397,9.94,548,142.55,573,53.06,643,3631.20,668,2225.95
Confirmed,"","","Sri Lanka",21413250,555216,0,0.08,323,683.34,348,515.04,385,853.49,437,197.95,498,3016.55,532,1357.29,582,5344.71,652,646.26,663,875.06,668,800.28
Confirmed,"","","Taiwan",23816775,16515,0,0.90,61,18.19,115,0.03,189,1.76,217,0.16,313,7.52,352,2.92,363,4.47,391,0.75,490,523.26,668,5.63
Confirmed,"","","Tajikistan",9537642,17488,0,0.00,121,192.66,221,34.34,244,42.96,268,39.48,277,40.53,311,37.95,324,61.30,505,0.00,553,77.49,668,0.12
Confirmed,"","","Thailand",69799978,2050944,0,1.67,66,115.72,146,2.22,374,782.78,406,58.99,482,3645.50,487,3434.32,493,3680.62,504,2720.90,569,21375.67,668,6655.18
Confirmed,"","","Timor-Leste",1318442,19817,0,0.00,85,2.03,242,0.00,338,1.32,355,0.30,489,178.42,518,49.40,526,59.70,545,35.56,580,295.26,668,1.63
Confirmed,"","","United Arab Emirates",9890400,741295,0,0.12,120,845.05,149,388.54,165,536.03,197,229.74,275,1365.95,292,1171.67,370,3631.58,481,1389.83,508,2113.73,668,72.33
Confirmed,"","","Uzbekistan",33469198,190863,0,0.00,83,96.28,102,37.29,195,721.25,224,329.50,240,600.49,397,33.82,469,390.00,497,233.02,563,912.64,668,246.96
Confirmed,"","","Vietnam",97338583,1074697,0,0.41,65,10.72,95,0.21,194,31.60,242,0.73,375,40.41,425,2.17,586,12929.97,634,3475.35,668,9604.85,668,9604.85
Confirmed,"","","West Bank and Gaza",5101416,457826,0,0.00,236,699.98,262,401.41,315,1961.28,367,492.00,440,2387.40,546,61.71,592,2348.00,612,1692.17,623,4286.46,668,170.23
Confirmed,"","","Yemen",29825968,9952,0,0.00,144,40.43,164,21.00,171,26.96,192,7.91,199,10.36,287,0.14,434,101.43,529,2.40,591,44.48,668,4.75
Confirmed,"","","Japan",133719173,1742235,0,0.85,127,1894.41,138,42.36,196,1327.63,244,447.33,355,6187.26,402,1022.19,476,6039.10,515,1456.31,578,22632.67,668,142.86
Confirmed,"","","India",1371753888,34504849,0,0.01,238,92390.12,299,40614.44,305,42707.25,385,11322.12,468,385345.92,545,37534.01,554,40876.02,575,33627.62,586,41818.93,668,10662.18
Confirmed,"","","Pakistan",211877155,1284641,0,0.00,143,6197.41,221,404.41,318,3147.23,339,2102.68,356,2365.34,389,1177.88,455,5493.97,515,966.42,559,4650.14,668,342.18
Confirmed,"","","China",1467916320,111353,0,571.77,21,3963.74,103,4.78,187,198.31,247,18.70,363,178.78,472,14.39,563,107.50,630,24.35,651,82.55,668,31.83
Confirmed,"","","Malaysia",36400896,2575590,0,0.00,62,238.17,163,5.47,375,4414.32,431,1251.72,493,7561.89,516,5445.30,581,21463.23,653,5164.46,668,5981.47,668,5981.47
