Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08
All,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,29,48,58,67,71,66,60,53,42,43,58,70,73,71,61,52,45,48,58,54,34,0,10,12,26,41,62,123,219,259,219,160,110,81,76,78,64,36,0,0,0,0
All,Bonaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,18,23,22,20,18,13,7,0,0,1,2,3,2,0,1,4,7,7,6,8,12,12,12,14,17,18,24,37,41,36,38,37,36,35,26,0,0
All,Indonesia,1,3,5,5,6,8,10,10,9,8,7,8,11,13,12,12,14,14,13,15,17,14,12,14,16,18,17,15,18,22,23,28,32,31,38,64,114,167,182,161,131,109,100,117,138,140,129,110,90,84,87,91,104,120,141,178,231,265,274,316,409,469,451,400,345,313,311,304,262,231,225,207,159,115,81,52,28,13,0,0,0
All,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,0,2,0,1,0,0,0,0,1,0,4,7,8,7,6,0,2,6,14,21,25,26,27,30,34,35,36,36,40,45,45,46,52,56,52,48,50,49,49,52,59,62,58,54,60,68,63,0,0
All,Qatar,18,51,77,85,95,96,93,83,62,50,51,42,22,10,13,29,42,37,28,26,15,7,9,14,15,13,9,7,7,8,11,11,0,5,15,42,56,38,18,13,21,37,45,51,50,46,51,58,49,36,50,96,143,154,124,79,50,40,32,0,0,0,0,0,0,1,0,63,168,252,246,185,120,67,0,0,0,0,0,0,0
All,Ecuador,1,2,0,2,3,3,0,1,2,5,0,5,3,3,4,8,12,11,7,7,6,3,3,4,5,3,3,0,1,0,0,2,4,5,4,4,7,10,9,6,0,0,0,0,2,4,7,7,9,16,24,30,33,38,52,64,61,62,73,82,85,103,152,210,248,231,164,105,105,143,125,59,18,10,11,9,0,0,0,0,0
All,Chile,20,41,46,44,39,36,27,15,18,25,18,15,21,21,14,13,21,29,29,26,20,19,24,30,34,30,18,0,6,6,5,4,7,12,21,32,39,42,36,27,27,34,42,47,46,48,61,86,116,144,171,206,252,289,301,277,242,237,274,326,358,391,413,382,325,299,332,367,314,189,102,62,0,0,0,0,0,0,0,0,0
All,South Africa,13,40,62,58,49,49,58,76,99,119,148,189,229,230,191,138,107,87,95,134,154,133,114,128,156,171,184,206,211,206,222,237,243,260,302,362,438,468,379,264,206,179,154,131,123,151,189,190,167,142,130,147,172,191,216,235,273,359,460,544,673,837,956,951,817,683,604,520,415,304,218,166,114,0,0,0,0,0,0,0,0
All,Argentina,22,52,72,77,68,48,35,34,35,34,40,49,54,52,50,52,60,64,57,39,23,20,22,23,30,40,41,33,28,28,31,28,24,28,33,29,25,26,27,27,28,30,28,26,28,43,66,84,90,98,120,146,155,144,142,144,143,153,173,182,178,172,168,167,162,159,170,164,129,108,115,112,79,41,20,12,10,10,11,10,0
All,Costa Rica,0,0,0,0,0,2,4,6,0,7,11,12,10,8,6,5,5,0,2,2,3,3,3,4,3,3,3,3,3,4,5,5,5,6,8,13,16,14,12,12,10,9,11,15,22,28,31,30,27,25,25,25,24,22,18,14,14,17,18,19,22,26,29,35,40,45,55,66,66,53,38,31,31,32,35,44,52,42,0,0,0
All,Guatemala,0,0,0,1,2,3,5,7,7,6,4,3,3,4,3,2,0,0,0,0,1,0,8,17,21,19,15,13,10,6,5,6,7,6,5,6,14,23,26,25,19,9,5,9,15,17,11,7,6,8,11,9,5,4,4,6,8,9,10,15,30,57,73,60,39,32,32,26,15,0,15,30,32,21,13,12,0,0,0,0,0
All,Uganda,3,7,9,0,0,0,0,0,0,0,0,1,2,4,5,9,14,16,19,20,12,0,4,0,0,1,4,10,14,14,0,4,9,16,18,21,0,13,9,9,0,2,2,4,4,4,5,9,11,8,7,7,6,6,7,0,8,21,42,56,49,27,11,7,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Bangladesh,20,40,40,37,39,37,37,44,57,68,77,72,59,41,22,12,11,11,10,8,6,5,4,6,10,10,10,12,12,13,16,21,25,20,19,22,21,18,23,30,27,19,16,16,15,25,50,62,56,58,63,50,34,26,27,35,43,43,40,44,56,74,99,106,94,77,65,58,55,52,41,22,11,9,0,0,0,0,0,0,0
All,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,3,2,2,3,3,4,5,5,6,7,7,7,11,21,29,23,13,7,4,6,13,23,22,11,0,0,0,2,4,8,17,26,34,47,60,79,85,67,39,25,25,25,27,44,82,119,102,68,50,38,32,34,27,0,0,0
All,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,7,16,23,24,18,10,7,4,3,4,4,9,22,37,41,35,31,34,38,30,0,0,0,0,0,0
All,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,4,4,2,2,2,1,0,0,2,5,9,19,30,34,29,25,24,19,15,18,19,12,6,0,11,22,27,25,23,22,22,27,40,55,58,47,44,44,43,49,56,55,58,83,112,99,65,50,57,71,65,51,0,0
All,Jordan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,6,9,15,0,61,113,110,69,34,20,0,0,2,0,0,0,1,5,13,19,13,8,10,11,9,6,5,8,11,12,9,7,8,8,8,8,8,8,8,7,6,4,2,1,1,1,0,0,0,0,0,1,5,9,15,25,32,28,27,29,24,16,0
All,Pakistan,0,1,2,3,0,7,11,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,1,3,7,0,9,10,9,7,7,6,3,0,1,2,0,0,2,7,12,11,12,28,50,45,30,22,17,18,32,62,83,64,38,30,28,24,27,34,43,49,51,64,73,52,31,22,14,10,16,20,18,13,0
All,Sint Maarten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,11,14,9,0,3,8,15,18,15,12,13,13,15,29,42,0,29,34,35,0,19,23,31,45,60,0,132,206,186,132,97,98,90,55,26,0,0,0,0
All,Bahrain,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,1,5,14,0,12,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,11,0,11,5,8,18,26,25,22,17,15,28,48,48,38,42,46,0,0,0,55,0,0,0,0,55,129,177,200,211,182,0
All,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,2,0,0,1,0,1,2,2,2,0,3,7,11,0,16,23,29,39,38,34,44,53,51,47,44,0,0,0
All,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,9,10,13,0,11,26,73,107,82,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,0,0,0,0,0,0,0,0,0,1,2,4,3,0,0,0,0,0,0,0,0,1,1,1,1,2,4,6,12,26,46,73,95,84,49,23,16,13,10,7,5,4,5,7,12,19,20,16,0,0,0,0,0,0,0,0,0,0,0,0
All,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,6,5,3,0,1,2,5,12,22,26,27,24,20,29,54,70,59,40,30,24,18,14,11,6,3,0,0,1,4,8,9,8,7,7,11,25,41,41,0,0,0,0,0,0,0,0,0
