Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08
All,Sweden,7,18,27,34,40,40,34,24,21,21,20,19,15,11,13,18,17,18,21,21,23,25,23,21,21,23,35,51,59,58,59,64,68,85,140,218,309,516,893,1405,2194,3185,4118,4881,5447,5857,6231,6242,5562,4390,3591,3298,3195,3184,3176,3032,2744,2272,1966,1965,1823,1468,1236,1264,1497,1782,2120,2561,2828,2741,2540,2361,2154,1917,1675,1374,993,760,596,0,0
All,USA,906,2012,2511,2419,2192,2056,2144,2581,3271,3842,4273,4586,4553,4155,3627,3159,2772,2463,2264,2183,2233,2340,2388,2531,2914,3328,3837,4941,6290,6651,6210,6170,6964,7636,8273,9773,12716,16176,18016,17975,17537,17601,17720,17643,18695,21087,24248,27917,31963,36085,38475,37707,35193,32315,28040,22488,17152,13034,10834,10301,10646,12131,15883,22917,33366,47025,60548,66938,65011,62352,62386,63067,61467,56436,50317,45357,39164,29944,20284,11353,0
All,Australia,21,50,65,61,55,52,52,79,160,332,635,1085,1572,1901,1951,1720,1396,1110,803,524,336,217,137,98,87,74,58,42,31,29,30,28,31,51,78,94,99,83,60,43,34,36,39,35,35,44,54,57,58,61,71,93,102,87,67,50,48,62,69,73,106,189,320,506,721,957,1204,1370,1446,1492,1638,1932,1856,1245,833,833,917,885,704,0,0
All,Slovenia,0,1,0,0,0,1,2,5,10,19,27,30,31,31,29,33,43,50,56,71,88,91,99,139,197,200,175,258,327,226,198,335,442,432,343,275,328,381,326,397,611,712,706,702,701,660,655,754,829,838,915,991,977,869,711,577,446,359,323,273,219,205,227,283,353,448,592,773,943,1084,1196,1200,1107,991,872,714,517,0,0,0,0
All,Latvia,3,6,0,0,0,0,0,1,2,3,7,11,10,7,8,8,6,7,10,12,15,29,72,113,89,36,9,0,0,0,0,0,0,1,0,1,2,8,28,63,106,156,198,222,242,282,376,415,333,281,321,366,352,301,248,220,217,161,75,31,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Greece,1,2,4,0,0,0,0,0,0,0,0,0,0,1,3,5,0,2,4,9,14,17,17,17,19,23,50,85,91,78,51,41,61,97,114,99,77,58,57,72,69,62,87,198,397,547,540,408,271,250,307,395,530,607,609,532,380,219,123,90,65,45,81,0,162,194,170,126,99,0,106,218,264,226,172,107,0,0,0,0,0
All,Austria,5,12,18,18,0,4,0,0,0,0,1,3,6,6,6,8,12,17,21,20,17,17,16,16,25,36,48,72,102,100,73,61,46,32,46,100,160,165,147,151,177,191,197,190,207,252,272,241,188,156,161,167,167,183,241,295,256,187,194,291,354,301,264,307,358,355,325,298,301,323,314,269,250,249,235,211,195,169,115,47,0
All,Canada,141,310,374,324,229,141,94,86,82,67,64,83,111,135,172,229,279,321,353,354,340,346,370,407,460,496,511,619,829,956,999,1050,1003,982,1017,1091,1332,1660,1847,1768,1554,1505,1681,1858,2058,2458,3104,3861,4404,4487,4591,4778,4902,4849,4374,3714,3089,2494,2071,1901,1755,1425,1006,813,1021,1682,2710,3878,4845,5500,5840,5585,4631,3403,2346,1462,776,382,0,0,0
All,Lithuania,0,0,0,3,5,3,0,0,0,0,0,0,1,3,6,7,7,7,8,10,0,6,3,2,1,0,1,1,3,7,20,60,111,115,83,65,82,103,99,77,85,168,327,510,577,531,586,788,859,846,846,840,817,790,751,735,730,663,478,243,123,103,121,203,374,574,701,740,725,697,645,567,484,394,364,399,440,432,335,0,0
All,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,41,49,38,24,16,17,22,19,12,0,0,0,1,4,13,18,12,7,13,28,72,167,218,182,238,394,492,514,451,305,204,178,169,155,0,0,32,48,52,38,32,49,75,107,149,175,180,182,183,182,182,178,174,172,164,134,0,0,0,0
