Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01
All,Sweden,25,27,33,47,40,43,14,22,22,21,18,22,3,12,26,15,14,29,19,19,34,20,20,25,13,30,61,64,59,47,79,60,64,110,251,281,288,1038,1095,2095,3231,4291,4817,5843,5421,6738,6317,6456,3584,3452,3211,3180,3021,3475,2809,3114,2059,1494,2197,2016,1250,1142,1071,1531,1812,1898,2666,3180,2656,2420,2213,1973,1879,1441,1605,610,672,247,15,0
All,USA,3126,2529,2529,2096,1955,2000,2216,3597,3858,4210,4873,4775,4211,3538,3130,2754,2379,2230,2104,2137,2471,2390,2185,3044,3386,3541,4059,7732,6820,6345,4646,8006,7428,7927,8849,11705,17808,19281,17746,17164,17088,19104,15994,18213,20853,23744,28136,31148,36971,40888,38720,33630,33802,28763,21889,16702,11719,9580,10401,9866,11337,13442,21859,31011,45693,64359,75246,61402,60867,61497,63645,63739,56908,47422,41944,31426,24900,14002,4658,89
All,Australia,71,77,62,41,74,20,72,99,280,531,1022,1711,2014,2169,1772,1248,1246,741,472,298,213,110,74,108,65,67,35,28,25,39,22,27,30,111,68,139,74,56,44,24,34,52,29,30,40,66,56,56,66,47,110,125,79,72,45,21,87,69,63,64,183,279,470,751,868,1311,1423,1423,1570,1293,2121,2623,715,621,832,1016,945,798,409,0
All,Slovenia,2,2,0,0,0,4,3,8,17,35,29,29,38,27,20,55,52,49,61,115,82,86,101,236,294,32,174,667,50,45,423,510,467,373,146,266,646,147,197,850,712,714,651,784,652,523,769,1011,623,993,1041,1003,968,584,679,369,324,352,300,147,236,165,309,338,411,574,767,1011,1011,1326,1239,1115,970,899,773,452,403,0,0,0
All,Latvia,12,7,0,0,1,2,0,5,1,2,22,7,6,5,17,1,2,19,7,16,17,29,212,85,8,4,1,0,0,1,0,0,1,3,0,1,3,12,70,95,155,232,194,285,182,400,591,241,217,325,425,369,281,277,126,314,188,1,47,5,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Greece,3,5,8,0,0,0,0,0,0,0,0,0,1,1,11,4,0,2,12,12,24,16,12,30,9,13,157,50,133,8,43,35,114,150,80,92,48,21,121,52,59,55,88,444,670,592,448,150,188,405,204,711,558,692,563,405,157,78,105,81,3,16,280,0,354,136,82,172,3,0,321,322,193,200,112,11,0,0,0,0
All,Austria,19,15,28,13,0,1,0,1,0,2,1,10,7,2,10,12,14,30,19,16,17,22,4,26,42,42,51,130,141,18,94,43,11,34,52,261,134,166,83,253,129,270,137,192,264,321,245,185,106,188,165,166,163,181,438,242,147,116,281,537,213,223,282,444,327,358,252,299,324,391,194,266,247,262,165,210,87,14,1,1
All,Canada,491,390,363,214,121,62,90,102,53,50,78,119,138,133,258,280,311,388,367,311,346,366,395,447,575,435,488,915,1133,717,1394,812,962,1107,883,1284,1738,2029,1876,1441,1178,1835,1771,1986,2160,3211,3572,5295,3909,4668,4872,4615,5358,4047,3617,3122,2417,1753,1956,1802,1599,714,688,690,1556,2521,4085,5072,5484,6218,6060,4818,3074,2260,1130,207,14,2,0,0
All,Lithuania,0,0,0,13,1,1,0,0,0,0,0,0,3,6,11,5,10,4,11,19,0,4,3,1,2,0,2,1,8,9,18,181,121,85,23,89,122,115,76,9,172,225,656,633,565,199,1196,735,889,814,896,766,853,702,720,778,706,610,54,111,100,88,148,321,672,722,794,699,716,690,510,568,303,341,390,474,380,331,0,0
All,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,53,67,33,22,12,9,37,16,13,5,0,0,1,1,9,37,4,1,9,31,16,148,416,26,137,515,503,523,598,195,173,183,168,159,167,0,0,79,58,40,5,51,87,73,179,189,171,189,182,180,189,177,169,178,170,67,0,0,0,0
