Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15
20A.EU1,France,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,10,18,32,40,34,25,24,32,44,59,68,63,48,35,25,21,25,33,40,62,104,148,185,187,146,125,133,123,104,84,67,48,30,18,11,7,4,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,11,19,24,27,31,32,31,34,43,53,62,77,101,120,125,122,141,227,394,631,852,955,976,979,903,719,525,377,264,177,112,67,36,20,13,8,4,3,2,1,1,2,4,2,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Spain,0,0,0,0,0,0,0,4,17,29,29,33,44,54,69,85,102,117,132,164,190,193,207,220,217,203,186,169,168,175,177,199,271,350,375,358,359,392,529,710,764,675,538,428,336,244,161,99,63,44,33,26,19,14,9,6,5,5,4,3,2,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,13,16,25,35,41,46,53,66,82,93,97,102,109,110,119,145,173,205,253,303,327,348,373,375,330,251,190,157,118,73,41,24,14,8,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,1,4,10,15,15,15,23,31,32,23,19,23,22,19,17,17,20,24,35,58,86,107,116,116,107,96,72,42,21,10,6,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,67,169,333,534,808,1251,1843,2431,2996,3771,4633,5389,5963,6498,6313,5061,3840,3757,4475,4528,3639,2892,2602,2328,1860,1359,923,622,429,272,165,108,63,33,16,9,6,6,7,6,3,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,5,3,1,0,0,0,0
20A.EU1,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,15,26,40,45,35,20,22,52,106,156,182,217,270,267,216,190,208,290,398,458,496,513,489,422,315,197,103,53,33,25,21,16,10,6,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,6,14,26,30,20,20,35,40,29,25,33,39,44,42,30,28,38,43,45,50,57,58,62,65,55,39,24,13,6,3,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,28,19,7,1,0,0,0,1,4,7,12,16,16,15,15,16,15,14,15,18,25,41,60,66,68,71,68,62,52,37,19,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,17,28,43,48,41,36,43,55,74,95,95,83,78,83,104,162,224,232,213,222,244,214,169,216,323,372,326,247,190,140,83,43,24,15,10,7,6,5,4,3,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0
20A.EU1,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,35,76,119,144,186,202,171,160,181,239,363,454,530,714,1044,1549,2121,2429,2413,2402,2443,2345,1987,1464,996,675,464,313,199,128,104,95,85,82,79,74,73,67,48,22,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,12,55,138,229,330,416,406,333,252,155,77,49,58,64,58,52,44,38,32,21,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,5,5,11,18,20,21,23,25,23,26,41,61,92,199,391,593,792,908,871,750,613,469,342,224,124,75,52,39,32,19,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,3,4,3,3,5,9,12,16,20,23,24,24,25,22,15,11,9,7,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,1,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,4,4,4,2,1,2,2,5,11,11,8,5,4,7,10,8,7,9,10,9,6,4,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20A.EU1,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,4,8,13,11,5,1,0,0,0,0,0,0,1,0,1,1,4,16,36,60,88,108,107,99,97,113,111,72,45,35,26,18,13,7,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
