DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","Alabama","US",4959040,842071,0,0.00,176,1811.75,229,868.31,350,4054.09,439,312.73,478,1084.28,514,166.86,586,4587.70,668,509.80
Confirmed,"","Alaska","US",735124,147784,0,0.00,189,101.26,217,68.35,317,683.23,421,132.95,437,187.96,506,27.81,613,1178.19,668,389.61
Confirmed,"","Arizona","US",7350600,1233445,0,0.00,164,3578.31,231,452.44,352,9284.83,503,414.43,584,3188.86,632,2092.76,668,4177.57,668,4177.57
Confirmed,"","Arkansas","US",3035274,523083,0,0.00,185,777.45,207,479.88,351,2901.08,495,151.62,563,2267.58,647,429.69,668,700.97,668,700.97
Confirmed,"","California","US",41183544,5032980,0,0.00,181,9329.59,255,3353.81,330,42916.28,340,38995.87,352,42715.83,508,972.29,576,14909.75,668,4558.06
Confirmed,"","Colorado","US",6276147,802293,0,0.00,94,533.34,142,171.99,301,4928.79,418,965.38,459,1708.91,526,393.26,665,3220.82,668,3069.75
Confirmed,"","Connecticut","US",4508617,412405,0,0.00,89,972.39,164,78.35,321,2617.60,336,1717.08,354,2625.42,512,45.49,602,712.91,668,653.69
Confirmed,"","Delaware","US",1154550,149585,0,0.00,95,200.39,214,56.79,323,796.74,519,20.65,605,457.38,651,249.04,668,387.57,668,387.57
Confirmed,"","District of Columbia","US",1411498,65958,0,0.00,103,180.97,157,33.69,198,76.29,250,39.52,354,295.51,516,9.15,601,248.92,668,87.60
Confirmed,"","Florida","US",21746770,3718614,0,0.00,175,11383.90,252,2299.62,351,15677.21,418,4505.45,449,6299.17,501,1293.85,568,23255.70,668,2087.29
Confirmed,"","Georgia","US",10635775,1653844,0,0.00,184,3637.06,251,1161.32,286,5290.87,295,2772.89,353,9319.30,516,328.05,584,9056.73,668,1011.07
Confirmed,"","Hawaii","US",1617297,86525,0,0.00,218,244.01,280,79.81,351,199.19,391,49.50,435,117.82,517,43.95,585,864.32,668,167.57
Confirmed,"","Idaho","US",2268647,302814,0,0.00,71,93.95,107,23.55,177,541.41,234,242.88,320,1543.42,525,70.99,617,1313.21,668,513.88
Confirmed,"","Illinois","US",12737235,1760508,0,0.00,102,2493.18,147,615.37,296,12075.53,513,226.62,587,4051.33,641,2117.68,666,4034.76,668,3945.70
Confirmed,"","Indiana","US",6767976,1067266,0,0.00,98,673.02,151,332.90,318,6597.15,520,250.57,588,4353.49,641,1613.84,665,2624.56,668,2559.53
Confirmed,"","Iowa","US",3162204,511477,0,0.00,101,510.23,145,281.39,294,4386.02,516,69.39,604,1773.78,626,946.36,668,1712.04,668,1712.04
Confirmed,"","Kansas","US",2925668,455486,0,0.00,301,2796.17,337,1675.90,344,2174.15,494,100.92,598,1549.36,634,794.27,668,1203.60,668,1203.60
Confirmed,"","Kentucky","US",4486849,768824,0,0.00,317,3284.27,338,2162.42,352,3787.23,520,151.02,598,4264.96,652,1162.30,664,1434.60,668,1298.37
Confirmed,"","Louisiana","US",4710827,767024,0,0.00,73,1335.38,106,337.16,181,2136.69,251,496.85,351,3539.49,513,301.72,566,5581.04,668,397.11
Confirmed,"","Maine","US",1452484,114889,0,0.00,357,588.46,393,141.69,449,438.76,530,17.99,617,588.90,628,415.03,668,801.50,668,801.50
Confirmed,"","Maryland","US",6116089,575982,0,0.00,118,1033.42,153,363.54,353,3037.00,405,770.63,445,1371.27,519,57.36,611,1223.63,668,938.79
Confirmed,"","Massachusetts","US",7105491,888872,0,0.00,93,2331.29,225,-577.08,352,6130.37,520,57.69,601,1950.26,642,1298.74,666,2427.20,668,2350.12
Confirmed,"","Michigan","US",9997245,1400473,0,0.00,73,1449.21,146,220.75,301,7378.80,391,1093.77,445,7592.63,518,148.03,666,8647.17,668,8598.46
Confirmed,"","Minnesota","US",5655495,868085,0,0.00,300,6673.51,391,777.36,444,2102.52,526,82.11,623,2948.22,638,2236.49,665,4291.65,668,4039.03
Confirmed,"","Mississippi","US",3006831,510516,0,0.00,185,1273.21,233,461.04,326,2113.91,338,1877.91,352,2282.76,513,116.14,574,3521.02,668,301.42
Confirmed,"","Missouri","US",6651696,892341,0,0.00,298,4983.28,338,3089.04,350,3993.05,451,-383.57,561,2836.78,641,964.27,668,3197.34,668,3197.34
Confirmed,"","Montana","US",1078225,187652,0,0.00,68,19.48,105,0.61,300,1203.10,341,380.98,351,524.48,527,47.44,622,904.51,668,496.24
Confirmed,"","Nebraska","US",1965750,301419,0,0.00,102,390.68,152,146.61,299,2259.87,510,29.69,596,762.50,638,473.65,668,1030.91,668,1030.91
