DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","","Albania",2877800,195488,0,0.00,322,786.59,343,462.29,384,1084.13,520,3.12,597,866.70,629,433.71,657,573.19,668,508.57
Confirmed,"","","Andorra",77264,16054,0,0.00,65,29.05,162,0.00,277,100.21,513,4.97,546,31.08,594,4.18,666,37.86,668,37.30
Confirmed,"","","Austria",9006400,1026963,0,0.00,64,695.32,131,28.08,295,7069.23,380,1347.71,430,3222.20,525,77.99,668,14123.94,668,14123.94
Confirmed,"","","Belarus",9449321,636577,0,0.00,114,946.04,203,97.54,328,1898.60,414,1018.51,484,1326.21,517,668.12,639,2031.71,668,1838.11
Confirmed,"","","Bosnia and Herzegovina",3280814,268086,0,0.00,288,1568.89,377,274.52,432,1589.85,529,8.32,603,742.46,632,557.06,657,815.28,668,665.13
Confirmed,"","","Bulgaria",6948444,670315,0,0.00,182,237.04,229,121.72,300,3323.18,362,439.98,427,3624.14,534,60.46,644,4656.72,668,2548.64
Confirmed,"","","Croatia",4105268,561224,0,0.00,67,68.65,134,0.23,322,3516.72,390,319.38,450,2184.12,518,72.31,659,5282.72,668,4902.75
Confirmed,"","","Cyprus",1207361,129406,0,0.00,346,591.32,390,108.71,456,829.35,507,57.41,542,988.93,618,102.22,668,412.63,668,412.63
Confirmed,"","","Czech Republic",10708982,1961804,0,0.00,277,12195.47,317,3649.04,351,11674.72,370,6787.81,406,12093.42,517,124.62,668,15784.99,668,15784.99
Confirmed,"","","Denmark",5946704,446891,0,0.00,330,3387.78,427,431.17,478,1036.30,518,204.27,569,995.16,606,345.73,668,3906.88,668,3906.88
Confirmed,"","","Estonia",1326539,215907,0,0.00,71,54.51,157,0.88,352,586.78,368,502.34,419,1455.65,520,25.80,647,1727.82,668,746.00
Confirmed,"","","Finland",5540718,174055,0,0.03,76,139.81,173,4.77,420,693.29,510,74.07,567,763.40,606,399.71,666,1005.25,668,966.59
Confirmed,"","","France",68450410,7835985,0,0.57,287,47993.92,314,10849.71,432,37602.93,520,1953.34,568,24517.33,628,4752.73,668,18809.64,668,18809.64
Confirmed,"","","Greece",10423056,867877,0,0.00,297,2566.56,363,491.76,437,2988.59,517,395.17,578,3220.63,613,2151.91,668,6894.69,668,6894.69
Confirmed,"","","Vatican City",809,27,0,0.00,45,0.11,52,0.01,64,0.50,83,0.05,99,0.24,253,0.00,266,1.52,668,0.00
Confirmed,"","","Iceland",341250,16335,0,0.00,66,68.86,181,-7.52,262,81.65,399,0.82,557,114.12,603,28.02,662,161.75,668,141.87
Confirmed,"","","Ireland",4937796,519919,0,0.00,82,811.20,152,8.77,270,1090.50,312,265.22,351,5655.72,510,315.45,668,4542.93,668,4542.93
Confirmed,"","","Kosovo",1810365,160990,0,0.00,190,231.49,252,-221.19,302,748.24,344,201.19,432,905.93,511,9.25,579,1916.69,668,9.16
Confirmed,"","","Latvia",1886202,244907,0,0.00,67,28.72,154,0.88,352,948.44,438,437.51,473,633.32,537,37.36,641,2420.97,668,899.95
