DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","","Afghanistan",38928341,156809,0,0.00,134,715.42,250,21.11,317,226.88,402,16.53,516,1810.72,668,49.67
Confirmed,"","","Armenia",2963234,332760,0,0.00,283,2057.57,375,142.53,430,918.55,503,72.70,642,1913.41,668,853.83
Confirmed,"","","Azerbaijan",10139175,570097,0,0.00,322,4141.84,382,132.10,443,2180.87,514,47.30,584,3747.66,668,1977.90
Confirmed,"","","Bahrain",1701583,277326,0,0.00,155,542.01,193,332.93,235,700.66,305,147.85,490,2791.44,668,21.03
Confirmed,"","","Bangladesh",164689383,1573666,0,0.00,157,3685.71,385,371.53,440,6695.20,479,998.89,556,13752.18,668,227.38
Confirmed,"","","Bhutan",771612,2631,0,0.00,219,6.98,289,1.25,339,19.82,416,0.03,492,25.80,668,1.21
Confirmed,"","","Burma",54409794,516785,0,0.00,262,1384.52,290,1087.67,306,1460.22,449,8.00,546,5609.00,668,688.63
Confirmed,"","","Cambodia",16718971,119783,0,0.08,466,691.66,480,402.12,530,953.26,584,432.09,612,739.73,668,48.67
Confirmed,"","","Georgia",3989174,804506,0,0.00,318,4273.86,409,292.12,572,4853.28,613,1596.83,654,4707.00,668,4284.07
Confirmed,"","","Indonesia",273523621,4252702,0,0.00,246,4247.41,284,3266.45,372,12457.69,479,3981.59,541,46438.43,668,385.22
Confirmed,"","","Iran",83992953,6068333,0,0.00,310,13494.21,340,6037.89,451,23683.12,501,8563.24,569,38221.86,668,5631.55
Confirmed,"","","Iraq",40222503,2073149,0,0.00,229,4343.81,361,754.73,454,7576.18,480,3718.31,556,11605.22,668,752.03
Confirmed,"","","Israel",8655541,1339649,0,0.00,247,5794.18,290,627.37,357,8144.94,501,13.78,586,9067.39,668,452.17
Confirmed,"","","Jordan",10203140,907227,0,0.00,301,5312.12,367,851.61,422,8186.28,512,454.83,668,3331.21,668,3331.21
Confirmed,"","","Kazakhstan",18776707,1044599,0,0.00,162,3189.08,254,232.53,456,2830.87,507,1057.08,560,8080.32,668,1193.55
Confirmed,"","","Kuwait",4270563,413104,0,0.00,117,920.73,340,233.13,446,1439.22,479,968.72,528,1761.75,668,18.51
Confirmed,"","","Kyrgyzstan",6524190,182721,0,0.00,179,2060.75,235,70.01,278,530.88,409,43.17,528,1355.27,668,69.75
Confirmed,"","","Laos",7275555,59956,0,0.00,463,76.51,503,5.53,579,346.79,591,188.08,668,1191.67,668,1191.67
Confirmed,"","","Maldives",540542,90482,0,0.00,213,137.67,329,18.29,485,1490.47,624,78.10,653,149.18,668,125.82
Confirmed,"","","Mongolia",3278292,376829,0,0.00,456,1156.47,480,540.76,512,2463.76,556,1161.77,591,3421.68,668,691.04
Confirmed,"","","Nepal",29136807,818536,0,0.14,270,3603.86,414,77.48,475,8731.60,533,1553.20,564,2545.23,668,288.84
Confirmed,"","","Oman",5106621,304462,0,0.00,174,1511.50,211,157.61,258,695.34,341,99.69,517,1986.42,668,6.03
Confirmed,"","","Papua New Guinea",8947027,33793,0,0.00,432,272.53,465,75.89,477,251.42,580,1.95,639,394.92,668,201.86
Confirmed,"","","Philippines",109581085,2823306,0,0.01,205,4245.04,344,1174.71,445,10378.76,538,5082.64,598,20576.06,668,1342.42
Confirmed,"","","Qatar",2881060,241819,0,0.00,128,1829.57,331,148.28,445,953.09,531,118.68,575,234.41,668,145.48
Confirmed,"","","Saudi Arabia",34813867,549409,0,0.00,118,2496.67,128,1912.99,146,4140.01,349,110.33,524,1351.01,668,36.38
Confirmed,"","","Singapore",5850343,248306,0,0.90,91,906.90,166,175.20,187,375.93,301,6.07,643,3631.20,668,2225.95
Confirmed,"","","Sri Lanka",21413250,555216,0,0.08,385,853.49,437,197.95,498,3016.55,532,1357.29,582,5344.71,668,800.28
Confirmed,"","","Taiwan",23816775,16515,0,0.90,61,18.19,115,0.03,313,7.52,391,0.75,490,523.26,668,5.63
Confirmed,"","","Tajikistan",9537642,17488,0,0.00,121,192.66,311,37.95,324,61.30,505,0.00,553,77.49,668,0.12
Confirmed,"","","Thailand",69799978,2050944,0,1.67,374,782.78,406,58.99,493,3680.62,504,2720.90,569,21375.67,668,6655.18
Confirmed,"","","Timor-Leste",1318442,19817,0,0.00,85,2.03,242,0.00,489,178.42,545,35.56,580,295.26,668,1.63
Confirmed,"","","United Arab Emirates",9890400,741295,0,0.12,120,845.05,197,229.74,370,3631.58,481,1389.83,508,2113.73,668,72.33
Confirmed,"","","Uzbekistan",33469198,190863,0,0.00,195,721.25,224,329.50,240,600.49,397,33.82,563,912.64,668,246.96
Confirmed,"","","Vietnam",97338583,1074697,0,0.41,194,31.60,242,0.73,586,12929.97,634,3475.35,668,9604.85,668,9604.85
