DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Alabama","US",4959040,842071,0,0.00,176,1811.75,229,868.31,350,4054.09,514,166.86,586,4587.70,668,509.80
Confirmed,"","Alaska","US",735124,147784,0,0.00,317,683.23,421,132.95,437,187.96,506,27.81,613,1178.19,668,389.61
Confirmed,"","Arizona","US",7350600,1233445,0,0.00,164,3578.31,231,452.44,352,9284.83,503,414.43,668,4177.57,668,4177.57
Confirmed,"","Arkansas","US",3035274,523083,0,0.00,185,777.45,207,479.88,351,2901.08,495,151.62,563,2267.58,668,700.97
Confirmed,"","California","US",41183544,5032980,0,0.00,181,9329.59,255,3353.81,330,42916.28,508,972.29,576,14909.75,668,4558.06
Confirmed,"","Colorado","US",6276147,802293,0,0.00,301,4928.79,418,965.38,459,1708.91,526,393.26,665,3220.82,668,3069.75
Confirmed,"","Connecticut","US",4508617,412405,0,0.00,89,972.39,164,78.35,354,2625.42,512,45.49,602,712.91,668,653.69
Confirmed,"","Delaware","US",1154550,149585,0,0.00,95,200.39,214,56.79,323,796.74,519,20.65,605,457.38,668,387.57
Confirmed,"","District of Columbia","US",1411498,65958,0,0.00,103,180.97,250,39.52,354,295.51,516,9.15,601,248.92,668,87.60
Confirmed,"","Florida","US",21746770,3718614,0,0.00,175,11383.90,252,2299.62,351,15677.21,501,1293.85,568,23255.70,668,2087.29
Confirmed,"","Georgia","US",10635775,1653844,0,0.00,184,3637.06,251,1161.32,353,9319.30,516,328.05,584,9056.73,668,1011.07
Confirmed,"","Hawaii","US",1617297,86525,0,0.00,218,244.01,280,79.81,351,199.19,517,43.95,585,864.32,668,167.57
Confirmed,"","Idaho","US",2268647,302814,0,0.00,177,541.41,234,242.88,320,1543.42,525,70.99,617,1313.21,668,513.88
Confirmed,"","Illinois","US",12737235,1760508,0,0.00,296,12075.53,513,226.62,587,4051.33,641,2117.68,666,4034.76,668,3945.70
Confirmed,"","Indiana","US",6767976,1067266,0,0.00,318,6597.15,520,250.57,588,4353.49,641,1613.84,665,2624.56,668,2559.53
Confirmed,"","Iowa","US",3162204,511477,0,0.00,294,4386.02,516,69.39,604,1773.78,626,946.36,668,1712.04,668,1712.04
Confirmed,"","Kansas","US",2925668,455486,0,0.00,301,2796.17,494,100.92,598,1549.36,634,794.27,668,1203.60,668,1203.60
Confirmed,"","Kentucky","US",4486849,768824,0,0.00,317,3284.27,338,2162.42,352,3787.23,520,151.02,598,4264.96,668,1298.37
Confirmed,"","Louisiana","US",4710827,767024,0,0.00,181,2136.69,251,496.85,351,3539.49,513,301.72,566,5581.04,668,397.11
Confirmed,"","Maine","US",1452484,114889,0,0.00,357,588.46,393,141.69,449,438.76,530,17.99,668,801.50,668,801.50
Confirmed,"","Maryland","US",6116089,575982,0,0.00,118,1033.42,153,363.54,353,3037.00,519,57.36,611,1223.63,668,938.79
Confirmed,"","Massachusetts","US",7105491,888872,0,0.00,93,2331.29,225,-577.08,352,6130.37,520,57.69,666,2427.20,668,2350.12
Confirmed,"","Michigan","US",9997245,1400473,0,0.00,301,7378.80,391,1093.77,445,7592.63,518,148.03,666,8647.17,668,8598.46
Confirmed,"","Minnesota","US",5655495,868085,0,0.00,300,6673.51,391,777.36,444,2102.52,526,82.11,665,4291.65,668,4039.03
Confirmed,"","Mississippi","US",3006831,510516,0,0.00,185,1273.21,233,461.04,352,2282.76,513,116.14,574,3521.02,668,301.42
Confirmed,"","Missouri","US",6651696,892341,0,0.00,298,4983.28,451,-383.57,561,2836.78,641,964.27,668,3197.34,668,3197.34
Confirmed,"","Montana","US",1078225,187652,0,0.00,300,1203.10,341,380.98,351,524.48,527,47.44,622,904.51,668,496.24
Confirmed,"","Nebraska","US",1965750,301419,0,0.00,299,2259.87,510,29.69,596,762.50,638,473.65,668,1030.91,668,1030.91
Confirmed,"","Nevada","US",3136070,451773,0,0.00,178,1113.42,234,293.33,321,2655.52,492,197.09,599,1172.62,668,571.38
Confirmed,"","New Hampshire","US",1421011,150193,0,0.00,321,820.71,408,219.12,443,429.08,523,20.08,665,895.52,668,827.08
Confirmed,"","New Jersey","US",9145856,1228076,0,0.00,75,3506.17,212,324.68,356,5977.16,527,204.71,603,2236.04,668,2055.62
Confirmed,"","New Mexico","US",2775946,300900,0,0.00,185,307.62,230,97.44,304,2363.32,526,60.13,664,1435.52,668,1332.80
Confirmed,"","New York","US",19759055,2656274,0,0.00,76,9452.67,213,608.23,353,15938.44,518,328.10,668,6513.02,668,6513.02
Confirmed,"","North Carolina","US",10657569,1513484,0,0.00,175,1962.48,205,1246.01,352,8250.22,524,298.39,599,7019.07,668,1768.77
Confirmed,"","North Dakota","US",764268,157795,0,0.00,296,1350.94,383,59.39,441,154.14,527,11.66,618,613.39,668,525.44
Confirmed,"","Ohio","US",11716779,1632798,0,0.00,322,11496.72,528,237.86,601,6976.77,644,3429.02,668,5796.74,668,5796.74
Confirmed,"","Oklahoma","US",3979144,658044,0,0.00,187,1005.54,207,670.02,353,4032.07,494,114.20,584,2661.22,668,754.47
Confirmed,"","Oregon","US",4233859,383420,0,0.00,316,1476.43,408,277.36,460,810.81,527,153.42,584,2225.31,668,807.14
Confirmed,"","Pennsylvania","US",12904988,1673843,0,0.00,324,10201.65,410,2495.07,448,4800.07,526,177.50,668,6192.67,668,6192.67
Confirmed,"","Puerto Rico","US",3211040,187566,0,0.00,179,1490.63,292,-3164.50,450,1055.04,520,36.56,577,899.58,668,145.69
Confirmed,"","Rhode Island","US",1107839,186038,0,0.00,91,364.11,159,43.14,319,1245.04,529,15.88,666,437.54,668,423.19
Confirmed,"","South Carolina","US",5173230,911139,0,0.00,175,1870.72,210,793.33,359,4769.52,513,88.61,588,5364.99,668,626.39
Confirmed,"","South Dakota","US",887392,162079,0,0.00,295,1379.73,511,8.62,599,466.73,627,304.38,665,424.91,668,397.96
Confirmed,"","Tennessee","US",6906139,1302942,0,0.00,186,2313.07,231,1291.72,329,8832.89,521,84.24,596,8122.08,668,1250.37
Confirmed,"","Texas","US",29054096,4303261,0,0.00,176,10067.06,230,3658.02,355,22216.78,494,1334.17,596,18082.88,668,3433.34
Confirmed,"","Utah","US",3392773,582199,0,0.00,301,3242.62,338,2136.93,351,3091.05,494,216.68,664,1668.02,668,1494.90
Confirmed,"","Vermont","US",660766,46456,0,0.00,74,38.11,191,4.18,434,178.59,526,3.93,668,385.82,668,385.82
Confirmed,"","Virginia","US",8567816,952286,0,0.00,126,1059.43,147,515.45,360,5761.15,511,138.22,601,3603.39,668,1447.49
Confirmed,"","Washington","US",7634872,761054,0,0.00,321,3115.19,412,691.80,456,1412.89,527,330.04,598,3409.40,668,1527.38
Confirmed,"","West Virginia","US",1810312,287405,0,0.00,348,1465.12,408,248.22,431,408.41,528,43.20,601,1865.98,668,955.52
Confirmed,"","Wisconsin","US",5842639,943103,0,0.00,297,6826.25,521,83.08,608,3106.46,639,2053.79,665,3494.27,668,3315.55
Confirmed,"","Wyoming","US",617629,109146,0,0.00,301,803.02,339,229.28,355,331.12,450,57.01,608,529.46,668,248.09
