DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Adygea Republic","Russia",453376,22283,0,0.00,160,41.49,210,17.77,326,101.11,495,7.66,668,93.29,668,93.29
Confirmed,"","Altai Krai","Russia",2350080,96366,0,0.00,174,222.64,231,62.12,297,235.37,499,57.44,668,528.84,668,528.84
Confirmed,"","Altai Republic","Russia",218063,23779,0,0.00,277,172.23,470,3.13,542,55.16,597,28.51,647,55.72,668,48.57
Confirmed,"","Amur Oblast","Russia",798424,43228,0,0.00,151,47.45,204,17.09,294,165.08,458,11.76,668,229.88,668,229.88
Confirmed,"","Arkhangelsk Oblast","Russia",1155027,107088,0,0.00,138,121.97,199,65.23,326,399.80,474,52.81,654,462.61,668,443.66
Confirmed,"","Astrakhan Oblast","Russia",1017514,69326,0,0.00,364,183.42,503,40.54,554,288.81,616,169.08,668,260.79,668,260.79
Confirmed,"","Bashkortostan Republic","Russia",4063292,95681,0,0.00,137,89.10,232,30.51,346,167.85,488,89.33,668,678.72,668,678.72
Confirmed,"","Belgorod Oblast","Russia",1549875,66706,0,0.00,147,75.97,221,41.62,347,187.32,501,60.63,652,348.32,668,347.34
Confirmed,"","Bryansk Oblast","Russia",1210981,82084,0,0.00,338,201.64,477,63.18,533,326.77,598,152.50,655,511.82,668,470.45
Confirmed,"","Buryatia Republic","Russia",984510,65462,0,0.00,306,271.50,470,25.68,528,317.74,600,78.72,668,238.71,668,238.71
Confirmed,"","Chechen Republic","Russia",1436980,26232,0,0.00,322,142.51,480,9.22,575,166.00,603,61.50,649,117.34,668,111.93
Confirmed,"","Chelyabinsk Oblast","Russia",3493036,116962,0,0.00,152,179.04,227,63.05,336,310.71,501,85.53,668,595.63,668,595.63
Confirmed,"","Chukotka Autonomous Okrug","Russia",49348,2651,0,0.00,306,7.70,470,0.12,546,14.01,589,8.41,668,20.79,668,20.79
Confirmed,"","Chuvashia Republic","Russia",1231117,38250,0,0.00,139,80.00,237,25.93,328,129.04,418,41.87,655,178.94,668,172.21
Confirmed,"","Dagestan Republic","Russia",3063885,54153,0,0.00,137,111.08,186,40.70,355,158.34,419,37.81,551,201.84,668,181.35
Confirmed,"","Ingushetia Republic","Russia",488043,23117,0,0.00,142,35.41,178,19.41,338,88.28,443,9.48,668,84.80,668,84.80
Confirmed,"","Irkutsk Oblast","Russia",2404195,130227,0,0.00,163,239.53,231,72.83,315,274.63,499,110.92,668,586.70,668,586.70
