20A.EU1,20A.EU2,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21F.Iota,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0113314447592068,0.015580736543909348,0.0,0.0,0.00424929178470255,0.06657223796033994,0.0,0.0,0.0,0.0,0.007082152974504249,0.0,0.00141643059490085,0.049575070821529746,0.0,0.0,0.0,0.0
0.007122507122507123,0.011396011396011397,0.0,0.0,0.007122507122507123,0.10398860398860399,0.0,0.0,0.0,0.0,0.007122507122507123,0.0,0.0014245014245014246,0.029914529914529916,0.0,0.0,0.0,0.0
0.0042796005706134095,0.008559201141226819,0.0,0.0,0.008559201141226819,0.15549215406562053,0.0,0.0,0.0,0.0,0.007132667617689016,0.0,0.0,0.005706134094151213,0.0,0.0,0.0,0.0
0.004545454545454545,0.006060606060606061,0.0,0.0,0.00909090909090909,0.2590909090909091,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0030534351145038168,0.004580152671755725,0.0,0.0,0.0061068702290076335,0.42442748091603055,0.0,0.0,0.0,0.0,0.00916030534351145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002652519893899204,0.003978779840848806,0.0,0.0,0.002652519893899204,0.5702917771883289,0.0,0.0,0.0,0.0,0.006631299734748011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012062726176115801,0.006031363088057901,0.0,0.0,0.0,0.669481302774427,0.0,0.0,0.0,0.0,0.0048250904704463205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011933174224343676,0.003579952267303103,0.0,0.0011933174224343676,0.0,0.7541766109785203,0.0,0.0,0.0,0.0,0.003579952267303103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001092896174863388,0.0,0.0,0.002185792349726776,0.0,0.819672131147541,0.0,0.0,0.0,0.001092896174863388,0.002185792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010090817356205853,0.0,0.0,0.0020181634712411706,0.0,0.856710393541877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010235414534288639,0.0,0.0,0.0020470829068577278,0.0,0.8853633572159673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011507479861910242,0.0,0.0,0.0011507479861910242,0.0,0.9079401611047181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.929676511954993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014064697609001407,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.951473136915078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9641255605381166,0.0,0.0,0.0,0.0,0.0,0.002242152466367713,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9693593314763231,0.0,0.0,0.0,0.0,0.0,0.0,0.002785515320334262,0.002785515320334262,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9597523219814241,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.006191950464396285,0.01238390092879257,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.003663003663003663,0.0,0.9120879120879121,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.003663003663003663,0.05128205128205128,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0045662100456621,0.0,0.7853881278538812,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0045662100456621,0.1598173515981735,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004878048780487805,0.0,0.6195121951219512,0.0,0.0,0.004878048780487805,0.0,0.0,0.0,0.004878048780487805,0.32195121951219513,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3964757709251101,0.0,0.0,0.00881057268722467,0.0,0.0,0.0,0.00881057268722467,0.5418502202643172,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1696113074204947,0.0035335689045936395,0.0,0.014134275618374558,0.0,0.0,0.0,0.024734982332155476,0.7561837455830389,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06232294617563739,0.0,0.0,0.0169971671388102,0.0,0.0,0.0,0.042492917847025496,0.8611898016997167,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.022321428571428572,0.0,0.0,0.015625,0.0,0.0,0.0,0.049107142857142856,0.9040178571428571,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.010135135135135136,0.0,0.0,0.011824324324324325,0.0,0.0,0.0,0.052364864864864864,0.9206081081081081,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00517464424320828,0.0,0.0,0.007761966364812419,0.0,0.0,0.0,0.05304010349288486,0.9314359637774903,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0021208907741251328,0.0,0.0,0.005302226935312832,0.0,0.0,0.0,0.05514316012725345,0.9353128313891834,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0009225092250922509,0.0,0.0,0.0036900369003690036,0.0,0.0,0.0,0.07011070110701106,0.9243542435424354,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002508361204013378,0.0,0.0,0.0,0.0802675585284281,0.9147157190635451,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.07083333333333333,0.9266666666666666,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018066847335140017,0.0,0.0,0.0,0.057813911472448055,0.9394760614272809,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010090817356205853,0.0,0.0,0.0,0.055499495459132187,0.941473259334006,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,0.0,0.0,0.0,0.051605504587155966,0.9461009174311926,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014005602240896359,0.0,0.0,0.0,0.046218487394957986,0.9523809523809523,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.9555125725338491,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
