20H.Beta.V2,21A.Delta.S.K417,21A.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.16666666666666666,0.0,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.0,0.0
0.6363636363636364,0.0,0.0,0.0,0.0
0.8095238095238095,0.0,0.0,0.0,0.0
0.896551724137931,0.0,0.0,0.0,0.0
0.9565217391304348,0.0,0.0,0.0,0.0
0.9230769230769231,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.9565217391304348,0.0,0.0,0.0,0.0
0.9090909090909091,0.0,0.0,0.0,0.0
0.9090909090909091,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.125,0.0,0.0
0.8235294117647058,0.0,0.11764705882352941,0.0,0.0
0.8461538461538461,0.0,0.038461538461538464,0.038461538461538464,0.0
0.7647058823529411,0.0,0.0,0.11764705882352941,0.0
0.6595744680851063,0.0,0.0,0.19148936170212766,0.0
0.4666666666666667,0.0,0.0,0.4,0.0
0.2911392405063291,0.012658227848101266,0.0,0.6075949367088608,0.0
0.21176470588235294,0.023529411764705882,0.011764705882352941,0.6823529411764706,0.0
0.14925373134328357,0.029850746268656716,0.029850746268656716,0.7313432835820896,0.0
0.07692307692307693,0.0,0.05128205128205128,0.7435897435897436,0.0
0.04,0.0,0.08,0.8,0.0
0.0,0.0,0.0,0.92,0.0
0.0,0.0,0.0,0.96,0.0
0.0,0.0,0.0,0.9629629629629629,0.0
0.0,0.0,0.0,0.9772727272727273,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.9901960784313726,0.0
0.0,0.0,0.0,0.9852941176470589,0.0
0.0,0.0,0.0,0.96,0.0
0.0,0.0,0.0,0.9473684210526315,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
