20A.EU1,20A.EU2,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21D.Eta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0.5714285714285714,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0
0.5660377358490566,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0,0.0
0.5641025641025641,0.0,0.0,0.0,0.07051282051282051,0.0,0.0,0.0,0.0
0.5404040404040404,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0
0.481981981981982,0.0,0.0,0.0,0.2072072072072072,0.0,0.0,0.0,0.0
0.4090909090909091,0.0,0.0,0.0,0.30165289256198347,0.0,0.0,0.0,0.0
0.34397163120567376,0.0,0.0,0.0,0.40425531914893614,0.0,0.0,0.0,0.0
0.300531914893617,0.0,0.0,0.0026595744680851063,0.48138297872340424,0.0,0.0,0.0,0.0
0.2674698795180723,0.0,0.0,0.0024096385542168677,0.5445783132530121,0.0,0.0,0.0,0.0
0.21621621621621623,0.0,0.0,0.003003003003003003,0.6306306306306306,0.0,0.0,0.0,0.0
0.1601423487544484,0.0,0.0,0.0035587188612099642,0.7437722419928826,0.0,0.0,0.0,0.0
0.10903426791277258,0.0,0.0,0.0,0.822429906542056,0.0,0.0,0.0,0.0
0.07103825136612021,0.0,0.0,0.0,0.8688524590163934,0.0,0.0,0.0,0.0
0.05113636363636364,0.0,0.0,0.0,0.8948863636363636,0.0,0.0,0.0,0.0
0.04318936877076412,0.0,0.0,0.0,0.9102990033222591,0.0,0.0,0.0,0.0
0.028225806451612902,0.0,0.0,0.0,0.9274193548387096,0.0,0.0,0.004032258064516129,0.004032258064516129
0.013636363636363636,0.0,0.0,0.0,0.9454545454545454,0.0,0.0,0.013636363636363636,0.004545454545454545
0.004608294930875576,0.0,0.0,0.0,0.9447004608294931,0.0,0.0,0.027649769585253458,0.0
0.0,0.0,0.0,0.0,0.9316770186335404,0.0,0.0,0.043478260869565216,0.0
0.0,0.0,0.0,0.0,0.8933333333333333,0.0,0.0,0.06666666666666667,0.0
0.0,0.0,0.0,0.0,0.8387096774193549,0.0,0.0,0.12903225806451613,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.46153846153846156,0.0
0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.6,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
