20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I,Delta.N.412R
0.00047664442326024784,0.00015888147442008263,0.0,0.0,0.00015888147442008263,0.0,0.0,0.00047664442326024784,0.0,0.0,0.0,0.0,0.0076263107721639654,0.0,0.0,0.0,0.0,0.0,0.0,0.0038131553860819827,0.0,0.0,0.0,0.0
0.0006013229104028864,0.0001503307276007216,0.0,0.0,0.0001503307276007216,0.0,0.0,0.0004509921828021648,0.0,0.0,0.0,0.0,0.010823812387251955,0.0,0.0,0.0,0.0,0.0,0.0,0.0027059530968129887,0.0,0.0,0.0,0.0
0.00048254785266205565,0.00016084928422068523,0.0,0.0,0.00032169856844137045,0.0,0.0,0.00048254785266205565,0.0,0.0,0.0,0.0,0.017210873411613318,0.0,0.00016084928422068523,0.0,0.0,0.0,0.0,0.0019301914106482226,0.0,0.0,0.0,0.0
0.0004837149306675266,0.00016123831022250886,0.0,0.0,0.0004837149306675266,0.0,0.0,0.0004837149306675266,0.0,0.0,0.0,0.0,0.030957755562721703,0.0,0.0004837149306675266,0.0,0.0,0.0,0.0,0.0014511447920025798,0.0,0.0,0.0,0.0
0.0007124536905101168,0.00014249073810202338,0.0,0.0,0.0007124536905101168,0.0,0.0,0.0004274722143060701,0.0,0.0,0.0,0.0,0.047021943573667714,0.0,0.0008549444286121402,0.0,0.0,0.0,0.0,0.0009974351667141636,0.0,0.0,0.0,0.0
0.0011723329425556857,0.00013025921583952066,0.0,0.0,0.0010420737267161652,0.0,0.0,0.0009118145108766445,0.0,0.0,0.0,0.0,0.06031001693369806,0.0,0.0011723329425556857,0.0,0.0,0.0,0.00013025921583952066,0.0010420737267161652,0.0,0.0,0.0,0.0
0.0014449127031908489,0.00012040939193257074,0.0,0.0,0.001806140878988561,0.0,0.0,0.0025285972305839855,0.0,0.0,0.0,0.0,0.07320891029500301,0.0,0.0016857314870559904,0.0,0.0,0.0,0.00012040939193257074,0.0013245033112582781,0.0,0.0,0.0,0.0
0.0016260162601626016,0.0001016260162601626,0.0,0.0,0.003353658536585366,0.0,0.0,0.005894308943089431,0.0,0.0,0.0,0.0,0.09339430894308944,0.0,0.002845528455284553,0.0,0.0,0.0,0.0001016260162601626,0.0012195121951219512,0.0,0.0,0.0,0.0
0.0015550890288469014,0.00015550890288469014,0.0,0.0,0.006142601663945261,0.0,0.00015550890288469014,0.009563797527408444,0.0,0.0,0.0,0.0,0.12790607262265766,7.775445144234507e-05,0.003965477023559599,0.0,0.0,0.0,0.00015550890288469014,0.001010807868750486,0.0,0.0,0.0,0.0
0.0014070720665606265,0.00030588523186100575,0.0,0.0,0.010277743790529793,0.0,0.00018353113911660345,0.012113055181695828,6.117704637220115e-05,0.0,0.0,0.0,0.16401566132387127,0.00030588523186100575,0.004832986663403891,0.0,0.0,6.117704637220115e-05,0.00030588523186100575,0.0011011868346996207,0.0,0.0,0.0,0.0
0.0013248688931824454,0.00038642009384487995,0.0,0.0,0.014683963566105438,0.0,0.0002760143527463428,0.01617444107093569,0.00016560861164780568,0.0,0.0,0.0,0.18702732542092187,0.000496825834943417,0.006237924372067347,0.0,0.0,0.00011040574109853712,0.00038642009384487995,0.001380071763731714,0.0,0.0,0.0,0.0
