20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.10666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11009174311926606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11688311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029411764705882353,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028985507246376812,0.10144927536231885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01639344262295082,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01818181818181818,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.12727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03076923076923077,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.24615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04807692307692308,0.14423076923076922,0.0,0.0,0.0,0.0,0.009615384615384616,0.22115384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08287292817679558,0.1270718232044199,0.0,0.0,0.0,0.0,0.011049723756906077,0.2265193370165746,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10631229235880399,0.09966777408637874,0.0,0.0,0.0,0.0,0.013289036544850499,0.292358803986711,0.0,0.0,0.0,0.0,0.0,0.006644518272425249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11666666666666667,0.06190476190476191,0.0,0.0,0.0,0.0,0.011904761904761904,0.3738095238095238,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10256410256410256,0.038461538461538464,0.0,0.0,0.0,0.0018315018315018315,0.02197802197802198,0.46703296703296704,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0841799709724238,0.027576197387518143,0.0,0.0,0.0,0.002902757619738752,0.03483309143686502,0.5645863570391872,0.0,0.0,0.0,0.0,0.0,0.0043541364296081275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08796895213454076,0.019404915912031046,0.0,0.0,0.0,0.0038809831824062097,0.04657179818887452,0.6183699870633894,0.0,0.0,0.0,0.0,0.0,0.0038809831824062097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10759493670886076,0.015189873417721518,0.0,0.0,0.0,0.005063291139240506,0.06329113924050633,0.6075949367088608,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10110974106041924,0.013563501849568433,0.0,0.0,0.0,0.004932182490752158,0.09001233045622688,0.6103575832305795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07773851590106007,0.009422850412249705,0.0,0.0,0.0,0.004711425206124852,0.1248527679623086,0.6419316843345112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0533175355450237,0.005924170616113744,0.0,0.0,0.001184834123222749,0.002369668246445498,0.17417061611374407,0.6492890995260664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03929539295392954,0.005420054200542005,0.0,0.0,0.0013550135501355014,0.0013550135501355014,0.22086720867208673,0.6273712737127372,0.0,0.0,0.0,0.0013550135501355014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03430531732418525,0.005145797598627788,0.0,0.0,0.0017152658662092624,0.0017152658662092624,0.2521440823327616,0.6192109777015438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023504273504273504,0.004273504273504274,0.0,0.0,0.002136752136752137,0.0,0.2606837606837607,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.25384615384615383,0.6615384615384615,0.0,0.0,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,0.0
0.008902077151335312,0.0,0.0,0.0,0.0,0.0,0.2195845697329377,0.6913946587537092,0.0,0.0,0.002967359050445104,0.0,0.0,0.0,0.0,0.0,0.002967359050445104,0.002967359050445104,0.0,0.0,0.0
0.003355704697986577,0.0,0.0,0.0,0.0,0.0,0.1644295302013423,0.7483221476510067,0.0,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.013422818791946308,0.003355704697986577,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.7785714285714286,0.0,0.0,0.007142857142857143,0.0035714285714285713,0.0,0.0,0.0,0.0,0.04285714285714286,0.0035714285714285713,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.08041958041958042,0.7657342657342657,0.0,0.0,0.006993006993006993,0.006993006993006993,0.0,0.0,0.0,0.0,0.08741258741258741,0.0034965034965034965,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.04844290657439446,0.740484429065744,0.0,0.0,0.006920415224913495,0.0034602076124567475,0.0,0.0,0.0,0.0,0.1453287197231834,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.025735294117647058,0.7169117647058824,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.19852941176470587,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.012875536480686695,0.6695278969957081,0.004291845493562232,0.0,0.012875536480686695,0.0,0.0,0.0,0.0,0.0,0.24892703862660945,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.005376344086021506,0.6021505376344086,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.3064516129032258,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45555555555555555,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.005555555555555556,0.011111111111111112,0.4666666666666667,0.0,0.0,0.0,0.0
