20A.EU1,20H.Beta.V2,20I.Alpha.V1,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,Delta.145H
0.0,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.0,0.0,0.37037037037037035,0.25925925925925924,0.0
0.0,0.017241379310344827,0.0,0.0,0.034482758620689655,0.0,0.0,0.5344827586206896,0.2413793103448276,0.0
0.0,0.01694915254237288,0.0,0.0,0.03389830508474576,0.0,0.0,0.6271186440677966,0.22033898305084745,0.0
0.0,0.012658227848101266,0.0,0.0,0.02531645569620253,0.0,0.0,0.6075949367088608,0.25316455696202533,0.0
0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,0.5333333333333333,0.3416666666666667,0.0
0.0,0.011764705882352941,0.0,0.0,0.01764705882352941,0.0,0.0,0.4470588235294118,0.45294117647058824,0.0
0.0,0.004484304932735426,0.0,0.0,0.013452914798206279,0.0,0.0,0.38565022421524664,0.5426008968609866,0.0
0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.35714285714285715,0.6015037593984962,0.0
0.0,0.0,0.0,0.0,0.007017543859649123,0.0,0.0,0.34385964912280703,0.6350877192982456,0.0
0.0,0.0,0.0,0.0,0.010067114093959731,0.0,0.0,0.33557046979865773,0.6442953020134228,0.0
0.0,0.0,0.0,0.0,0.012738853503184714,0.0,0.0,0.3375796178343949,0.6464968152866242,0.0
0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.33548387096774196,0.6451612903225806,0.0
0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.31985294117647056,0.6580882352941176,0.0
0.0,0.0,0.0,0.0,0.008968609865470852,0.0,0.0,0.3094170403587444,0.672645739910314,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31547619047619047,0.6785714285714286,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32407407407407407,0.6759259259259259,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469387755102041,0.6326530612244898,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
